Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;1;1;4.6;4.0;4.5;4.1;0.0;107.4;9.6;0;0;0;4.483;6.99;6.244; 28.60 ;24.56;25.659
1;2;2;4.8;4.3;4.9;4.3;0.0;107.4;2.4;0;0;0;4.417;7.14;6.528; 28.30 ;24.56;25.491
1;3;3;4.8;4.6;4.7;4.6;0.0;107.4;3.6;0;0;0;6.217;7.2;6.663; 28.00 ;24.71;25.403
1;4;4;4.8;4.7;4.8;4.7;0.0;107.4;7.2;0;0;0;5.75;7.86;6.681; 27.70 ;25.60;25.197
1;5;5;4.7;4.6;4.8;4.5;0.0;107.4;15.6;0;0;0;5.058;8.62;6.705; 27.40 ;26.88;25.08
1;6;6;4.6;4.3;4.7;4.3;0.0;107.4;40.9;0;0;0;5.058;8.8;6.538; 27.10 ;28.09;24.998
1;7;7;4.6;4.9;4.5;4.9;0.0;107.4;108.4;0;0;0;5.833;8.48;6.402; 26.80 ;29.02;24.938
1;8;8;4.8;5.1;4.9;5.1;0.0;107.4;183.7;18;34.9647;23.34;5.225;8.02;6.483; 26.40 ;29.71;25.085
1;9;9;4.8;5.7;4.8;5.7;286.3;107.4;69.5;111.1;194.2336;144.74;6.342;7.52;8.124; 27.43 ;30.11;26.288
1;10;10;5.0;6.2;4.9;6.2;286.3;107.4;80.7;267.3;416.0791;267.91;5.825;7.16;8.234; 28.47 ;30.26;27.537
1;11;11;4.9;5.5;4.8;5.4;286.3;107.4;67.4;276.3;593.0759;411.87;6.008;6.95;8.264; 29.50 ;30.19;29.021
1;12;12;4.8;5.5;4.9;5.5;286.3;107.4;216.7;291.3;720.1467;495.56;6.067;6.9;8.091; 30.53 ;29.85;30.312
1;13;13;4.7;5.4;4.7;5.3;286.3;107.4;310.6;356.4;810.3456;574.43;6.3;6.9;7.968; 31.57 ;29.12;31.436
1;14;14;4.8;5.5;4.8;5.5;286.3;107.4;432.2;638.8;803.4062;512.59;5.8;6.59;7.643; 32.60 ;28.02;31.741
1;15;15;4.8;5.5;4.8;5.5;286.3;107.4;245.4;734.9;696.4848;412.46;5.983;6.18;6.892; 32.16 ;26.97;31.618
1;16;16;5.0;5.4;5.0;5.4;286.3;107.4;56.4;553.7;572.4372;297.16;5.6;5.89;6.575; 31.72 ;26.24;31.312
1;17;17;5.4;4.8;5.3;4.9;286.3;107.4;95.1;346.4;390.4723;165.81;5.133;5.38;6.275; 31.28 ;25.75;30.871
1;18;18;5.1;5.0;5.2;5.0;0.0;107.4;99.1;96.1;167.1997;89.9;4.775;4.88;6.085; 30.84 ;25.38;30.209
1;19;19;4.8;5.1;4.8;5.1;0.0;107.4;121.6;8;15.0826;9.75;3.975;4.69;6.282; 30.40 ;25.06;29.1
1;20;20;4.8;5.2;4.7;5.2;0.0;107.4;134.8;0;0;0;3.85;5.02;6.35; 30.09 ;24.79;28.054
1;21;21;5.1;5.3;5.1;5.2;0.0;107.4;121.6;0;0;0;4.325;5.49;6.127; 29.78 ;24.61;27.297
1;22;22;5.2;5.6;5.2;5.5;0.0;107.4;95.1;0;0;0;4.433;5.38;5.814; 29.48 ;24.42;26.764
1;23;23;5.1;5.5;5.1;5.5;0.0;107.4;40.9;0;0;0;4.658;5.48;5.584; 29.17 ;24.34;26.394
