loss,mean_squared_error,val_loss,val_mean_squared_error
1699243.5,1699243.5,1652738.75,1652738.75
1595935.375,1595935.375,1553702.75,1553702.75
1501602.5,1501602.5,1463595.25,1463595.25
1411499.5,1411499.5,1355203.125,1355203.125
1302338.25,1302338.25,1261557.0,1261557.0
1210937.875,1210937.875,1172064.75,1172064.75
1123634.25,1123634.25,1086759.0,1086759.0
1040048.4375,1040048.4375,1004687.1875,1004687.1875
960608.625,960608.625,926991.0,926991.0
885119.625,885119.625,853132.625,853132.625
813107.125,813107.125,782882.75,782882.75
744937.1875,744937.1875,716423.25,716423.25
680754.5,680754.5,653636.625,653636.625
619836.0625,619836.0625,594540.6875,594540.6875
562685.8125,562685.8125,538815.75,538815.75
508710.78125,508710.78125,486447.875,486447.875
458310.0625,458310.0625,437413.0625,437413.0625
411076.53125,411076.53125,391635.84375,391635.84375
366899.1875,366899.1875,349136.5,349136.5
325965.0625,325965.0625,309461.0625,309461.0625
287943.84375,287943.84375,272836.5,272836.5
252881.359375,252881.359375,239190.046875,239190.046875
220781.75,220781.75,208296.296875,208296.296875
191427.484375,191427.484375,180189.28125,180189.28125
164707.09375,164707.09375,154809.46875,154809.46875
140705.609375,140705.609375,131757.734375,131757.734375
119072.171875,119072.171875,111298.0625,111298.0625
99935.953125,99935.953125,93106.2265625,93106.2265625
83129.5703125,83129.5703125,77195.9921875,77195.9921875
68411.0234375,68411.0234375,63302.90625,63302.90625
55650.15234375,55650.15234375,51353.04296875,51353.04296875
44706.96875,44706.96875,41185.265625,41185.265625
35453.8515625,35453.8515625,32546.771484375,32546.771484375
27725.083984375,27725.083984375,25478.94140625,25478.94140625
21386.927734375,21386.927734375,19422.73828125,19422.73828125
16189.52734375,16189.52734375,15008.140625,15008.140625
12030.8115234375,12030.8115234375,10834.916015625,10834.916015625
8773.6943359375,8773.6943359375,7920.16162109375,7920.16162109375
6286.650390625,6286.650390625,5721.55029296875,5721.55029296875
4463.978515625,4463.978515625,4037.5849609375,4037.5849609375
3155.137451171875,3155.137451171875,2866.702392578125,2866.702392578125
2251.650390625,2251.650390625,2180.31298828125,2180.31298828125
1639.2801513671875,1639.2801513671875,1506.0533447265625,1506.0533447265625
1223.1446533203125,1223.1446533203125,1104.6773681640625,1104.6773681640625
939.1950073242188,939.1950073242188,828.9208984375,828.9208984375
740.1950073242188,740.1950073242188,851.2418823242188,851.2418823242188
603.6210327148438,603.6210327148438,490.99212646484375,490.99212646484375
505.6163330078125,505.6163330078125,719.6871337890625,719.6871337890625
432.6412048339844,432.6412048339844,344.7474670410156,344.7474670410156
379.1776123046875,379.1776123046875,307.0193786621094,307.0193786621094
338.4339294433594,338.4339294433594,287.51568603515625,287.51568603515625
307.68341064453125,307.68341064453125,215.08306884765625,215.08306884765625
285.28912353515625,285.28912353515625,200.88734436035156,200.88734436035156
267.6637268066406,267.6637268066406,183.8091583251953,183.8091583251953
252.84115600585938,252.84115600585938,424.3710021972656,424.3710021972656
240.54678344726562,240.54678344726562,143.36065673828125,143.36065673828125
229.57305908203125,229.57305908203125,125.05133056640625,125.05133056640625
222.0098114013672,222.0098114013672,171.4016876220703,171.4016876220703
215.52601623535156,215.52601623535156,551.497802734375,551.497802734375
209.10581970214844,209.10581970214844,209.05267333984375,209.05267333984375
206.4607696533203,206.4607696533203,465.24127197265625,465.24127197265625
201.8766326904297,201.8766326904297,75.2806167602539,75.2806167602539
197.01295471191406,197.01295471191406,253.24937438964844,253.24937438964844
195.17408752441406,195.17408752441406,475.3402099609375,475.3402099609375
192.01519775390625,192.01519775390625,563.2078247070312,563.2078247070312
189.94387817382812,189.94387817382812,53.762428283691406,53.762428283691406
187.911376953125,187.911376953125,96.49127197265625,96.49127197265625
184.9248046875,184.9248046875,311.3399658203125,311.3399658203125
187.31105041503906,187.31105041503906,573.386962890625,573.386962890625
183.27029418945312,183.27029418945312,143.6079864501953,143.6079864501953
188.8515625,188.8515625,208.49131774902344,208.49131774902344
178.59414672851562,178.59414672851562,44.157752990722656,44.157752990722656
178.44940185546875,178.44940185546875,268.5370788574219,268.5370788574219
182.783447265625,182.783447265625,127.07942199707031,127.07942199707031
176.15989685058594,176.15989685058594,70.59576416015625,70.59576416015625
173.77804565429688,173.77804565429688,219.2791748046875,219.2791748046875
174.8948974609375,174.8948974609375,186.24671936035156,186.24671936035156
173.35971069335938,173.35971069335938,67.53966522216797,67.53966522216797
173.2015380859375,173.2015380859375,59.5182991027832,59.5182991027832
171.51132202148438,171.51132202148438,50.408355712890625,50.408355712890625
