Latitude (decimal degrees):	6.488
Longitude (decimal degrees):	-75.502
Elevation (m):	2410
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,14.51,0.21,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,13.76,0.41,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,13.05,0.48,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,13.31,0.34,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,13.21,0.14,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,12.73,0.14,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,12.26,0.07,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,12.45,0.28,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,11.89,0.28,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,11.98,0.21,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,11.34,0.21,0.0
20180101:1130,449.18,124.28,27.97,0.7,3.08,11.64,0.21,0.0
20180101:1230,1600.02,374.62,138.9,5.58,16.6,11.98,0.14,0.0
20180101:1330,2095.71,529.88,162.2,10.4,29.69,14.68,0.28,0.0
20180101:1430,2803.99,798.25,180.99,17.74,41.91,16.1,0.21,0.0
20180101:1530,2890.16,847.58,171.81,21.53,52.4,18.57,0.48,0.0
20180101:1630,2972.58,900.22,152.11,24.33,59.26,19.92,0.76,0.0
20180101:1730,2752.75,848.42,117.1,22.52,59.9,20.77,0.62,0.0
20180101:1830,2423.19,674.57,165.76,18.33,53.98,21.1,0.34,0.0
20180101:1930,2296.83,601.86,181.33,15.03,43.98,20.31,0.62,0.0
20180101:2030,1583.66,391.62,128.24,8.47,31.98,19.06,0.55,0.0
20180101:2130,1381.84,331.63,119.56,5.46,19.01,17.32,0.28,0.0
20180101:2230,630.09,175.1,35.92,1.1,5.54,16.99,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,15.68,0.28,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,14.99,0.28,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,14.12,0.48,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,13.91,0.41,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,13.58,0.48,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,13.29,0.55,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,12.97,0.55,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,13.06,0.48,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,12.6,0.62,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,12.46,0.48,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,12.17,0.55,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,12.06,0.62,0.0
20180102:1130,348.73,101.14,20.75,0.56,2.99,11.81,0.55,0.0
20180102:1230,659.35,118.91,95.99,3.33,16.53,12.24,0.41,0.0
20180102:1330,1983.02,472.95,174.55,9.98,29.62,15.21,0.76,0.0
20180102:1430,1821.05,360.35,231.0,11.99,41.88,15.54,0.76,0.0
20180102:1530,1973.55,413.84,236.97,14.65,52.39,17.03,0.55,0.0
20180102:1630,2208.71,446.21,299.02,18.05,59.31,17.96,0.34,0.0
20180102:1730,2207.13,457.29,293.79,18.27,60.0,18.66,0.14,0.0
20180102:1830,2178.56,502.6,235.63,16.61,54.11,19.06,0.28,0.0
20180102:1930,1741.09,349.37,225.54,12.01,44.11,19.24,0.69,0.0
20180102:2030,1472.93,285.97,198.13,8.84,32.11,18.93,0.48,0.0
20180102:2130,763.26,134.24,118.77,4.19,19.13,18.24,0.48,0.0
20180102:2230,272.58,72.89,28.07,0.82,5.66,17.22,0.34,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,15.5,0.41,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,15.06,0.07,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,14.83,0.14,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,14.35,0.21,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,13.99,0.41,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,14.14,0.34,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,13.36,0.41,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,13.09,0.41,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,12.9,0.28,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,12.67,0.21,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,12.72,0.28,0.0
20180103:1130,120.66,34.44,17.13,0.48,2.9,12.63,0.34,0.0
20180103:1230,727.88,129.18,107.3,3.64,16.45,12.57,0.14,0.0
20180103:1330,1353.12,289.89,144.57,7.29,29.57,14.58,0.28,0.0
20180103:1430,1929.62,438.81,190.93,12.21,41.84,15.41,0.55,0.0
20180103:1530,2187.88,571.6,154.43,15.65,52.4,17.17,0.62,0.0
20180103:1630,2256.14,592.22,162.06,17.72,59.37,18.3,0.69,0.0
20180103:1730,2328.06,595.13,194.46,18.76,60.12,19.59,0.62,0.0
20180103:1830,3033.42,938.1,149.45,23.47,54.25,19.79,0.55,0.0
20180103:1930,2703.7,761.65,193.99,18.06,44.25,22.55,0.83,0.0
20180103:2030,2452.68,715.09,134.26,12.84,32.24,20.35,0.48,0.0
20180103:2130,1245.13,325.9,81.2,4.74,19.25,18.9,0.48,0.0
20180103:2230,803.57,215.81,48.89,1.34,5.78,16.81,0.62,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,15.97,0.55,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,15.12,0.14,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,14.47,0.21,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,13.84,0.28,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,13.54,0.21,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,13.11,0.21,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,12.89,0.14,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,12.72,0.14,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,13.03,0.14,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,12.71,0.14,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,12.51,0.28,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,11.56,0.62,0.0
20180104:1130,21.21,6.51,9.67,0.29,2.82,11.95,0.97,0.0
20180104:1230,322.59,56.62,57.26,2.03,16.38,12.89,0.76,0.0
20180104:1330,769.35,133.51,115.88,4.88,29.51,14.12,0.41,0.0
20180104:1430,991.3,124.33,195.56,7.65,41.81,15.16,0.48,0.0
20180104:1530,1172.17,112.67,268.32,10.06,52.4,16.69,0.41,0.0
20180104:1630,1516.55,169.48,328.48,13.24,59.43,17.56,0.28,0.0
20180104:1730,1540.81,144.62,364.3,13.83,60.23,18.63,0.41,0.0
20180104:1830,2572.15,659.99,229.96,19.65,54.39,19.17,0.48,0.0
20180104:1930,2594.75,664.42,241.08,17.48,44.39,19.18,0.34,0.0
20180104:2030,1576.19,352.04,169.49,8.97,32.37,19.45,0.28,0.0
20180104:2130,960.38,190.44,123.01,4.64,19.38,16.98,0.34,0.0
20180104:2230,244.86,57.91,34.09,0.94,5.89,16.12,0.14,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,15.62,0.28,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,14.66,0.28,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,13.94,0.41,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,13.63,0.48,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,13.18,0.28,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,12.85,0.14,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,12.52,0.14,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,12.35,0.0,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,12.0,0.28,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,11.82,0.14,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0
20180105:1030,0.0,0.0,0.0,0.0,0.0,11.39,0.07,0.0
20180105:1130,478.75,127.93,32.95,0.75,2.74,11.06,0.21,0.0
20180105:1230,1453.84,341.16,121.73,5.03,16.31,11.66,0.28,0.0
20180105:1330,2465.08,668.62,156.44,11.87,29.46,14.63,0.62,0.0
20180105:1430,2559.29,698.93,164.8,15.75,41.78,16.51,0.83,0.0
20180105:1530,2745.24,793.56,150.77,19.98,52.42,18.16,0.83,0.0
20180105:1630,2754.21,795.26,165.89,22.37,59.5,19.62,0.62,0.0
20180105:1730,2294.91,593.21,189.85,18.65,60.36,20.48,0.48,0.0
20180105:1830,2509.08,655.47,208.89,19.1,54.53,20.26,0.69,0.0
20180105:1930,1707.48,354.58,208.57,11.73,44.53,19.98,0.9,0.0
20180105:2030,1087.28,196.2,157.83,6.89,32.51,17.7,0.41,0.0
20180105:2130,1012.16,205.48,123.64,4.76,19.5,16.51,0.34,0.0
20180105:2230,513.82,135.97,38.28,1.09,6.01,15.9,0.69,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,15.01,0.69,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,14.38,0.48,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,14.3,0.28,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,13.58,0.14,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,13.22,0.07,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,12.27,0.07,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,11.6,0.34,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,11.91,0.21,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,11.56,0.28,0.0
20180106:1030,0.0,0.0,0.0,0.0,0.0,11.48,0.28,0.0
20180106:1130,279.9,78.06,22.99,0.58,2.65,11.49,0.28,0.0
20180106:1230,1111.03,244.03,109.41,4.23,16.24,11.84,0.21,0.0
20180106:1330,1295.53,212.24,202.38,7.86,29.41,13.93,0.55,0.0
20180106:1430,2460.11,608.66,216.84,15.41,41.76,15.67,0.69,0.0
20180106:1530,2458.11,629.43,198.41,17.84,52.44,17.75,0.9,0.0
20180106:1630,2703.08,760.25,167.03,21.63,59.58,19.28,1.03,0.0
20180106:1730,2407.6,668.07,143.41,19.21,60.49,20.17,1.17,0.0
20180106:1830,1783.36,376.25,211.12,13.61,54.69,20.18,1.1,0.0
20180106:1930,2069.76,436.37,253.36,14.15,44.68,18.86,0.9,0.0
20180106:2030,1741.89,371.64,205.45,10.06,32.64,19.89,0.83,0.0
20180106:2130,1173.1,242.47,141.82,5.41,19.63,19.11,0.76,0.0
20180106:2230,399.63,88.27,52.43,1.31,6.12,17.62,0.62,0.0
20180106:2330,0.0,0.0,0.0,0.0,0.0,16.7,0.62,0.0
20180107:0030,0.0,0.0,0.0,0.0,0.0,15.46,0.55,0.0
20180107:0130,0.0,0.0,0.0,0.0,0.0,15.24,0.14,0.0
20180107:0230,0.0,0.0,0.0,0.0,0.0,14.58,0.0,0.0
20180107:0330,0.0,0.0,0.0,0.0,0.0,13.82,0.07,0.0
