Latitude (decimal degrees):	6.627
Longitude (decimal degrees):	-70.877
Elevation (m):	127
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,27.15,1.31,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,26.46,1.03,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.89,1.1,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.59,1.31,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.19,1.52,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,25.12,2.14,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,24.38,2.62,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.78,2.34,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.53,2.83,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.19,2.83,0.0
20180101:1030,0.0,0.0,0.0,0.0,-6.46,22.83,2.76,0.0
20180101:1130,944.75,251.12,62.14,2.05,7.22,22.7,2.69,0.0
20180101:1230,1651.15,427.9,113.32,7.17,20.63,23.07,3.03,0.0
20180101:1330,1918.72,431.81,197.61,12.12,33.5,24.12,4.21,0.0
20180101:1430,1454.49,239.43,239.05,12.31,45.3,25.77,4.0,0.0
20180101:1530,2096.09,483.34,219.9,18.25,54.9,26.82,3.17,0.0
20180101:1630,1864.25,365.0,263.57,17.8,60.08,28.17,2.76,0.0
20180101:1730,1271.31,220.33,206.87,12.37,58.55,29.23,2.62,0.0
20180101:1830,1282.51,187.49,244.21,12.13,51.1,28.17,2.14,0.0
20180101:1930,1496.5,315.11,185.57,11.33,40.34,27.37,2.41,0.0
20180101:2030,792.1,167.34,100.73,5.36,27.98,27.01,2.62,0.0
20180101:2130,656.89,129.99,96.34,3.65,14.83,26.75,2.48,0.0
20180101:2230,9.24,0.0,11.23,0.39,1.28,26.41,2.55,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,25.69,2.14,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.17,2.0,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,24.92,1.59,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.68,1.31,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.4,1.03,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,24.02,0.97,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.86,1.03,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,24.04,1.31,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.69,1.52,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,23.57,1.66,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,23.39,1.79,0.0
