Latitude (decimal degrees):	10.677
Longitude (decimal degrees):	-74.982
Elevation (m):	37
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.68,4.07,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.52,4.14,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.41,3.52,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.38,2.97,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.15,2.34,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.95,1.86,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,24.84,1.31,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,25.09,2.28,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,25.07,2.0,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,25.06,1.66,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,24.74,1.52,0.0
20180101:1130,9.55,0.0,11.34,0.39,1.87,24.69,1.17,0.0
20180101:1230,1419.42,385.24,92.48,5.01,15.16,24.82,0.9,0.0
20180101:1330,2086.62,568.6,151.89,11.28,27.88,26.46,1.24,0.0
20180101:1430,2342.84,676.9,143.6,16.01,39.57,27.68,1.38,0.0
20180101:1530,2523.75,751.37,148.67,20.44,49.3,28.76,1.24,0.0
20180101:1630,2433.16,709.63,159.33,21.62,55.34,29.7,1.1,0.0
20180101:1730,2382.53,668.29,167.51,20.97,55.69,30.19,2.0,0.0
20180101:1830,2212.75,581.47,175.63,17.8,50.19,29.0,2.83,0.0
20180101:1930,1741.66,451.99,149.26,12.55,40.78,30.29,1.31,0.0
20180101:2030,1746.86,447.71,145.59,9.99,29.25,29.16,2.55,0.0
20180101:2130,1405.67,365.57,108.11,5.51,16.61,28.19,2.62,0.0
20180101:2230,669.86,198.72,33.0,0.93,3.37,27.12,2.76,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,26.36,2.69,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.93,2.0,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,25.74,1.52,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,25.46,1.66,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,25.19,1.38,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,24.75,0.83,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,24.56,0.9,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,24.34,1.03,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,24.8,0.48,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,24.19,0.9,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,24.03,1.03,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,24.17,1.17,0.0
20180102:1130,8.28,0.0,10.66,0.37,1.78,24.27,1.52,0.0
20180102:1230,820.17,167.87,108.84,4.09,15.09,24.51,1.66,0.0
20180102:1330,1332.72,273.15,167.87,8.25,27.83,25.19,2.76,0.0
20180102:1430,1566.95,268.47,251.36,12.21,39.55,26.18,3.38,0.0
20180102:1530,1655.65,274.87,278.96,14.45,49.3,27.4,3.1,0.0
20180102:1630,1908.06,344.23,302.51,17.43,55.4,28.2,2.69,0.0
20180102:1730,1819.93,320.43,298.82,16.88,55.79,28.78,2.34,0.0
20180102:1830,2301.99,561.05,242.05,19.17,50.32,29.01,1.93,0.0
20180102:1930,2099.91,533.25,222.73,15.82,40.91,29.76,0.14,0.0
20180102:2030,1995.84,556.12,150.0,11.5,29.38,29.45,0.55,0.0
20180102:2130,1271.89,330.28,104.96,5.23,16.74,28.74,0.97,0.0
20180102:2230,645.61,188.57,36.49,0.98,3.48,27.27,1.59,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,26.44,2.07,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,25.99,2.0,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,25.46,1.52,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,25.21,1.31,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,24.97,1.45,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,24.8,1.38,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,24.45,1.03,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,24.13,0.9,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,24.13,0.83,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,24.19,0.55,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,24.42,0.34,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,24.49,0.14,0.0
20180103:1130,12.55,0.0,12.83,0.44,1.7,24.49,0.34,0.0
20180103:1230,170.75,22.56,47.88,1.75,15.02,24.23,0.55,0.0
20180103:1330,1356.09,289.71,165.75,8.36,27.78,24.92,0.83,0.0
20180103:1430,1628.32,368.79,178.95,11.72,39.52,26.07,1.45,0.0
20180103:1530,2141.18,507.87,225.88,17.42,49.32,26.9,1.79,0.0
20180103:1630,2251.17,566.45,207.43,19.63,55.46,28.07,2.21,0.0
20180103:1730,2035.53,489.08,210.15,18.04,55.9,28.8,1.86,0.0
20180103:1830,1985.18,394.22,288.48,17.16,50.46,28.69,1.93,0.0
20180103:1930,902.79,92.21,212.59,8.63,41.05,27.27,2.97,0.0
20180103:2030,390.97,0.59,141.57,4.88,29.51,26.44,3.17,0.0
20180103:2130,343.38,46.52,80.15,2.94,16.86,26.28,2.48,0.0
20180103:2230,120.54,32.23,21.93,0.69,3.61,26.12,1.66,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,25.78,1.72,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,25.36,2.34,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,25.07,2.21,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,24.91,1.66,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,24.66,1.1,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,24.33,0.9,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,23.99,0.97,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,23.77,0.83,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,24.62,0.55,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,24.55,0.14,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,24.42,0.28,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,23.61,0.97,0.0
20180104:1130,13.98,0.0,13.47,0.46,1.63,23.53,1.52,0.0
20180104:1230,1097.9,253.94,113.58,4.57,14.96,24.09,1.03,0.0
20180104:1330,1607.07,351.12,194.52,9.7,27.74,25.78,0.9,0.0
20180104:1430,1889.04,412.04,238.49,13.97,39.5,26.94,0.97,0.0
20180104:1530,1876.14,358.78,289.02,16.3,49.34,28.0,1.1,0.0
20180104:1630,1866.13,352.52,290.31,17.27,55.53,28.64,1.38,0.0
20180104:1730,1788.67,309.01,307.96,16.95,56.02,29.11,1.31,0.0
20180104:1830,2048.08,402.68,310.07,17.96,50.6,29.32,1.59,0.0
20180104:1930,2088.7,458.71,264.28,15.73,41.19,29.85,2.34,0.0
20180104:2030,1435.59,289.42,199.88,9.54,29.65,29.66,2.0,0.0
20180104:2130,870.91,174.22,122.63,4.73,16.99,27.88,2.14,0.0
20180104:2230,126.4,32.98,23.23,0.73,3.73,26.32,1.93,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,25.84,1.52,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,25.58,1.45,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,25.44,1.38,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,25.28,1.24,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,24.95,0.76,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,24.56,0.9,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,24.61,1.1,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,24.47,1.24,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,24.47,0.9,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,24.37,0.76,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,24.84,0.48,0.0
20180105:1030,0.0,0.0,0.0,0.0,0.0,24.7,0.62,0.0
20180105:1130,12.86,0.0,12.96,0.45,1.55,24.08,0.83,0.0
20180105:1230,1055.21,241.99,111.81,4.47,14.9,24.19,0.97,0.0
20180105:1330,1632.28,373.71,181.97,9.64,27.7,25.48,0.62,0.0
20180105:1430,2171.44,530.57,229.03,15.58,39.49,26.72,0.83,0.0
20180105:1530,2375.33,588.75,253.84,19.79,49.36,27.79,0.97,0.0
20180105:1630,2465.46,654.66,226.94,22.22,55.61,28.85,1.03,0.0
20180105:1730,2381.19,580.17,271.06,21.87,56.15,29.49,1.03,0.0
20180105:1830,2189.57,549.31,220.2,18.45,50.74,30.07,1.45,0.0
20180105:1930,2266.92,626.23,177.46,16.41,41.34,30.44,1.38,0.0
20180105:2030,1807.38,442.63,174.4,10.71,29.79,29.6,2.55,0.0
20180105:2130,867.41,187.71,107.98,4.46,17.12,27.56,1.66,0.0
20180105:2230,428.12,125.73,29.6,0.87,3.85,27.46,1.38,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,27.04,1.45,0.0
