Latitude (decimal degrees):	8.629
Longitude (decimal degrees):	-74.211
Elevation (m):	177
Radiation database:	PVGIS-ERA5


Slope: 44 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,26.45,0.83,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.89,1.1,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.23,0.76,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.89,0.9,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.22,0.41,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.0,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.79,0.62,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.92,0.83,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.53,0.83,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.44,0.97,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,23.4,1.03,0.0
20180101:1130,1.77,0.0,6.85,0.24,3.39,23.47,1.03,0.0
20180101:1230,639.22,139.49,79.64,3.23,16.78,23.58,0.48,0.0
20180101:1330,1279.89,273.46,157.77,7.8,29.64,24.46,0.28,0.0
20180101:1430,1890.12,470.84,183.08,13.1,41.51,25.25,0.14,0.0
20180101:1530,2048.97,529.32,184.56,16.19,51.42,26.11,0.34,0.0
20180101:1630,1850.93,443.24,196.33,15.86,57.51,27.0,0.41,0.0
20180101:1730,2055.32,510.08,204.61,17.57,57.54,27.59,0.83,0.0
20180101:1830,1247.67,157.96,266.26,11.34,51.49,28.13,1.31,0.0
20180101:1930,1541.54,281.28,244.02,11.73,41.6,26.4,0.69,0.0
20180101:2030,1636.17,356.83,206.21,9.88,29.75,27.21,0.62,0.0
20180101:2130,1247.98,299.07,127.24,5.22,16.89,27.02,0.48,0.0
20180101:2230,11.97,0.0,12.64,0.44,3.51,26.74,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,26.32,0.69,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.8,0.55,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,25.59,0.83,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,25.27,1.03,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,25.07,1.31,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,24.35,1.31,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.74,1.1,0.0
