Latitude (decimal degrees):	5.692
Longitude (decimal degrees):	-72.775
Elevation (m):	3492
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,12.28,0.34,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,12.15,0.69,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,11.96,0.69,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,11.99,0.76,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,11.83,0.48,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,11.94,0.34,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,11.75,0.34,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,11.5,0.55,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,11.23,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,11.26,0.69,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,11.24,0.62,0.0
20180101:1130,29.72,0.0,19.56,0.64,5.88,11.06,0.48,0.0
20180101:1230,1395.05,328.99,113.69,5.36,19.38,11.59,0.28,0.0
20180101:1330,2102.48,526.43,155.79,10.76,32.41,12.85,0.62,0.0
20180101:1430,2212.13,571.02,144.45,13.69,44.51,14.25,1.31,0.0
20180101:1530,1765.38,405.16,155.6,12.65,54.64,14.93,1.59,0.0
20180101:1630,2157.42,465.43,229.67,16.77,60.68,15.05,1.72,0.0
20180101:1730,1786.55,340.54,229.1,13.97,60.02,15.4,1.79,0.0
20180101:1830,1513.86,228.54,255.53,11.7,53.01,15.89,1.59,0.0
20180101:1930,1221.64,173.44,217.21,8.91,42.4,15.46,1.31,0.0
20180101:2030,718.76,52.77,183.04,5.93,30.08,15.19,1.1,0.0
20180101:2130,347.5,31.86,90.88,2.83,16.94,14.73,0.97,0.0
20180101:2230,21.06,0.0,16.21,0.53,3.38,13.97,0.55,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,13.24,0.41,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,12.38,0.21,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,11.96,0.07,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,11.96,0.07,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,11.77,0.21,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,11.64,0.21,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,11.51,0.14,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,11.59,0.28,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,10.5,0.48,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,10.37,0.48,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,9.91,0.48,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,9.99,0.41,0.0
20180102:1130,25.02,0.0,17.61,0.57,5.79,9.76,0.48,0.0
20180102:1230,1635.6,394.81,125.67,6.06,19.31,10.89,0.28,0.0
20180102:1330,1867.44,457.68,138.4,9.53,32.35,12.44,0.83,0.0
20180102:1430,2050.78,505.23,151.75,12.74,44.47,13.49,1.24,0.0
20180102:1530,1661.54,354.52,173.32,12.09,54.65,14.92,1.45,0.0
20180102:1630,1645.3,288.46,236.33,13.15,60.74,15.25,1.45,0.0
