Latitude (decimal degrees):	5.320
Longitude (decimal degrees):	-75.393
Elevation (m):	2427
Radiation database:	PVGIS-ERA5


Slope: 38 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,9.74,0.55,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,9.76,0.55,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,9.57,0.76,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,9.34,0.62,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,9.37,0.76,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,8.78,0.9,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,9.06,0.76,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,8.85,0.62,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,8.95,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,8.74,0.69,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,8.84,0.55,0.0
20180101:1130,16.79,0.0,14.2,0.37,3.65,8.85,0.69,0.0
20180101:1230,177.37,0.0,69.15,1.8,17.22,9.22,0.62,0.0
20180101:1330,2143.22,481.04,212.12,9.17,30.38,10.77,0.62,0.0
20180101:1430,1848.5,366.61,228.1,9.99,42.73,12.9,0.76,0.0
20180101:1530,2538.5,634.29,206.81,15.01,53.38,13.06,0.83,0.0
20180101:1630,2583.97,636.69,235.08,16.85,60.41,14.84,0.62,0.0
20180101:1730,2160.66,450.24,270.52,14.35,61.02,16.41,0.48,0.0
20180101:1830,2230.54,521.42,229.56,13.86,54.88,17.01,0.34,0.0
20180101:1930,1841.99,366.77,232.21,10.29,44.65,15.24,0.83,0.0
20180101:2030,1564.79,328.06,174.27,7.31,32.5,13.65,0.55,0.0
20180101:2130,211.63,0.0,81.03,2.11,19.44,13.01,0.41,0.0
20180101:2230,34.69,0.0,21.68,0.56,5.92,11.45,0.34,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,10.58,0.62,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,9.99,0.62,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,9.88,0.34,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,9.82,0.28,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,9.4,0.62,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,8.92,0.48,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,8.86,0.28,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,8.75,0.41,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,7.13,0.62,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,6.55,0.62,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,5.95,0.69,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,5.61,0.69,0.0
20180102:1130,19.4,0.0,15.16,0.39,3.56,5.4,0.76,0.0
20180102:1230,144.49,0.0,58.19,1.51,17.14,6.5,0.48,0.0
20180102:1330,2391.0,639.08,141.91,9.63,30.32,9.91,0.41,0.0
20180102:1430,2773.35,782.52,155.09,14.22,42.69,11.95,0.41,0.0
20180102:1530,2790.79,773.83,183.83,16.86,53.38,14.02,0.34,0.0
20180102:1630,2794.33,782.3,181.2,18.44,60.46,15.35,0.41,0.0
20180102:1730,2391.54,564.42,240.91,15.79,61.13,16.0,0.48,0.0
20180102:1830,2513.28,619.1,228.92,15.47,55.01,15.54,0.62,0.0
20180102:1930,2488.83,660.08,181.5,13.38,44.79,15.89,0.55,0.0
20180102:2030,1698.08,373.54,179.11,7.88,32.63,15.6,0.55,0.0
20180102:2130,127.97,0.0,54.57,1.42,19.56,14.04,0.14,0.0
20180102:2230,35.34,0.0,22.05,0.57,6.03,12.97,0.62,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,12.15,0.48,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,11.71,0.69,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,10.98,0.62,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,10.27,0.9,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,9.64,0.76,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,9.44,0.83,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,9.16,0.9,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,8.74,0.9,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,9.06,0.83,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,8.61,0.69,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,8.41,0.62,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,8.47,0.76,0.0
20180103:1130,8.24,0.0,10.22,0.27,3.47,8.49,0.76,0.0
20180103:1230,134.33,0.0,55.53,1.44,17.06,9.07,0.62,0.0
20180103:1330,1400.01,271.66,168.85,6.42,30.25,10.36,0.69,0.0
20180103:1430,1605.57,296.01,215.0,8.82,42.65,11.87,0.62,0.0
20180103:1530,1614.07,332.34,181.99,9.64,53.38,12.83,0.62,0.0
20180103:1630,2047.89,390.84,273.5,13.31,60.52,13.13,0.76,0.0
20180103:1730,1951.95,349.24,288.3,12.98,61.24,14.58,0.62,0.0
20180103:1830,2447.6,588.54,232.29,15.06,55.14,15.45,0.69,0.0
20180103:1930,2161.85,484.29,220.31,11.67,44.92,16.18,1.79,0.0
20180103:2030,1330.48,229.31,192.52,6.72,32.76,14.0,1.93,0.0
20180103:2130,163.59,0.0,65.79,1.71,19.68,13.18,1.72,0.0
20180103:2230,19.79,0.0,15.66,0.41,6.15,11.99,0.97,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,11.12,0.34,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,10.63,0.9,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,9.91,0.69,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,9.74,0.62,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,9.11,0.69,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,8.91,0.76,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,8.85,0.76,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,8.39,0.83,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,8.63,0.83,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,8.52,0.9,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,8.81,0.9,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,9.05,1.1,0.0
20180104:1130,13.51,0.0,12.75,0.33,3.38,8.93,0.9,0.0
20180104:1230,127.2,0.0,53.29,1.38,16.99,9.3,0.69,0.0
20180104:1330,837.57,120.01,147.05,4.59,30.2,10.32,0.55,0.0
20180104:1430,1148.03,175.91,189.49,6.76,42.62,11.91,0.28,0.0
20180104:1530,2018.25,315.93,339.99,12.76,53.38,12.67,0.69,0.0
20180104:1630,2019.17,300.42,358.53,13.62,60.58,14.31,0.97,0.0
20180104:1730,1713.25,205.3,353.1,11.96,61.36,15.71,0.9,0.0
20180104:1830,1816.43,321.68,261.05,11.34,55.28,13.86,1.24,0.0
20180104:1930,1686.8,335.26,215.45,9.57,45.06,15.35,0.21,0.0
20180104:2030,1527.33,289.18,205.95,7.58,32.89,14.87,0.34,0.0
20180104:2130,225.92,0.0,85.6,2.22,19.81,13.32,0.41,0.0
20180104:2230,47.89,0.0,26.75,0.69,6.26,12.18,0.34,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,11.52,0.48,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,10.64,0.69,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,9.93,0.9,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,9.88,0.97,0.0
