Latitude (decimal degrees):	0.724
Longitude (decimal degrees):	-74.136
Elevation (m):	231
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,24.89,1.31,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.52,1.31,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.24,1.24,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.02,1.24,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.82,1.17,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.53,1.17,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.39,1.31,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.38,1.03,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.13,1.17,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.89,1.1,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,22.67,1.38,0.0
20180101:1130,162.12,49.55,17.61,0.63,6.62,22.58,1.59,0.0
20180101:1230,754.22,168.4,84.84,3.87,20.33,22.59,1.17,0.0
20180101:1330,1076.15,181.63,173.42,7.57,33.74,23.31,2.34,0.0
20180101:1430,1042.66,135.59,210.87,8.91,46.5,24.39,2.21,0.0
20180101:1530,1522.1,275.86,229.52,13.08,57.72,25.21,2.14,0.0
20180101:1630,1907.33,353.0,294.19,17.68,65.17,26.21,1.66,0.0
20180101:1730,2226.42,487.09,281.7,20.58,65.17,28.03,2.0,0.0
20180101:1830,1463.89,260.25,235.64,12.92,57.7,28.75,1.86,0.0
20180101:1930,1343.96,200.31,252.92,11.18,46.48,26.83,1.52,0.0
20180101:2030,339.49,17.48,107.49,3.64,33.73,24.63,2.21,0.0
20180101:2130,223.88,24.04,63.62,2.2,20.31,23.67,1.03,0.0
20180101:2230,79.46,7.67,31.75,0.99,6.6,23.72,0.34,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,23.54,0.55,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,23.42,0.21,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,23.26,0.48,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,22.94,0.55,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,22.77,0.76,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,22.7,0.48,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,22.56,0.41,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,22.59,0.14,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,22.24,0.69,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,22.07,0.9,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,21.92,0.83,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,21.78,0.69,0.0
20180102:1130,413.3,96.71,50.75,1.38,6.53,21.79,0.41,0.0
20180102:1230,846.46,172.85,111.46,4.55,20.24,22.36,0.28,0.0
20180102:1330,1979.79,488.78,188.41,11.78,33.67,23.63,0.62,0.0
20180102:1430,1924.5,510.88,146.04,13.76,46.45,25.23,0.76,0.0
20180102:1530,1833.68,456.26,166.5,15.26,57.7,26.39,1.1,0.0
20180102:1630,2179.1,564.74,192.71,20.09,65.22,27.15,0.97,0.0
20180102:1730,2407.4,719.29,135.35,22.52,65.28,28.46,0.9,0.0
20180102:1830,1514.28,231.66,292.97,13.99,57.84,29.38,0.55,0.0
20180102:1930,2067.33,509.28,212.67,15.4,46.61,29.46,1.38,0.0
20180102:2030,1987.41,550.01,146.08,11.73,33.85,29.52,1.03,0.0
20180102:2130,1787.71,500.12,125.15,7.47,20.43,28.98,0.62,0.0
20180102:2230,969.97,266.18,67.46,1.91,6.71,28.02,0.9,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,26.45,1.38,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,25.15,1.52,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,24.36,1.86,0.0
