Latitude (decimal degrees):	5.387
Longitude (decimal degrees):	-71.678
Elevation (m):	172
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,26.3,2.14,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.96,1.86,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.74,1.59,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.51,1.38,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.3,1.45,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,25.11,1.59,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,25.04,1.93,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,25.26,2.55,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,24.96,3.38,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,24.41,4.0,0.0
20180101:1030,0.0,0.0,0.0,0.0,-6.72,23.89,4.21,0.0
20180101:1130,738.31,205.36,42.37,1.58,7.0,23.33,3.93,0.0
20180101:1230,1606.07,421.86,103.07,6.83,20.5,23.46,3.59,0.0
20180101:1330,1853.39,427.95,177.63,11.48,33.5,24.67,4.97,0.0
20180101:1430,2109.22,498.51,195.19,15.67,45.53,26.38,5.72,0.0
20180101:1530,2276.39,578.26,180.73,19.3,55.51,27.51,4.76,0.0
20180101:1630,2209.82,504.21,236.28,20.47,61.18,28.44,4.62,0.0
20180101:1730,2209.78,435.04,308.94,20.65,59.98,29.09,4.9,0.0
20180101:1830,1781.55,277.35,320.06,16.28,52.56,29.57,4.83,0.0
20180101:1930,2057.94,425.83,271.29,15.6,41.73,29.08,3.93,0.0
20180101:2030,1340.3,261.59,187.09,8.91,29.3,29.28,4.41,0.0
20180101:2130,834.26,183.17,100.47,4.13,16.09,28.66,4.21,0.0
20180101:2230,359.36,104.13,28.99,0.75,2.5,27.97,3.72,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,27.11,3.1,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,26.48,2.76,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,26.04,2.34,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,25.73,2.14,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,25.48,1.86,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,25.23,1.72,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,25.14,1.79,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,24.98,1.72,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,24.44,1.66,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,24.23,1.59,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,24.03,1.52,0.0
20180102:1030,0.0,0.0,0.0,0.0,-6.82,24.06,1.24,0.0
20180102:1130,966.2,262.11,62.63,2.01,6.92,23.93,1.17,0.0
20180102:1230,1403.71,348.46,121.98,6.54,20.42,24.78,1.1,0.0
20180102:1330,1742.05,463.14,123.17,10.65,33.44,26.31,1.72,0.0
20180102:1430,2287.05,630.52,148.68,17.0,45.5,26.99,2.55,0.0
20180102:1530,2100.14,527.49,177.81,18.04,55.52,27.71,3.38,0.0
20180102:1630,1396.97,248.91,214.24,13.47,61.25,28.29,4.07,0.0
20180102:1730,2055.78,425.33,262.1,19.05,60.1,27.77,4.07,0.0
20180102:1830,367.75,59.96,74.19,3.91,52.7,28.43,4.14,0.0
20180102:1930,251.94,12.42,84.12,3.13,41.86,24.04,1.93,0.0
