Latitude (decimal degrees):	2.621
Longitude (decimal degrees):	-77.123
Elevation (m):	660
Radiation database:	PVGIS-ERA5


Slope: 34 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,19.73,0.76,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,19.37,0.62,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,19.47,0.62,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,20.22,0.41,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,20.17,0.28,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,19.88,0.34,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,19.75,0.34,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,18.87,0.62,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,18.52,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,18.54,0.55,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,18.65,0.48,0.0
20180101:1130,0.08,0.0,5.68,0.11,3.13,18.76,0.41,0.0
20180101:1230,98.83,0.0,46.0,0.93,16.82,18.87,0.34,0.0
20180101:1330,514.17,77.69,100.02,2.54,30.21,19.24,0.28,0.0
20180101:1430,767.04,99.55,158.55,4.09,42.97,19.83,0.28,0.0
20180101:1530,657.58,52.37,172.76,3.98,54.31,20.81,0.41,0.0
20180101:1630,944.33,118.27,197.6,5.49,62.41,20.85,0.48,0.0
20180101:1730,1603.72,182.65,358.65,9.43,63.99,21.23,0.55,0.0
20180101:1830,473.7,17.3,151.14,3.13,58.07,22.45,1.03,0.0
20180101:1930,686.19,37.76,196.42,4.18,47.7,20.85,1.03,0.0
20180101:2030,814.35,120.52,152.24,3.97,35.38,20.61,0.97,0.0
20180101:2130,315.93,39.98,76.71,1.71,22.19,20.68,0.97,0.0
20180101:2230,110.57,25.54,24.42,0.52,8.59,20.11,0.9,0.0
20180101:2330,0.0,0.0,0.0,0.0,-5.19,19.58,0.69,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,19.4,0.55,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,19.13,0.48,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,19.36,0.41,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,19.07,0.69,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,19.26,0.69,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,19.28,0.69,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,19.15,0.69,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,19.51,0.34,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,19.52,0.28,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,19.53,0.34,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,19.62,0.34,0.0
20180102:1130,9.55,0.0,11.33,0.23,3.04,19.62,0.28,0.0
