Latitude (decimal degrees):	10.249
Longitude (decimal degrees):	-73.529
Elevation (m):	180
Radiation database:	PVGIS-ERA5


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,27.91,1.31,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,26.97,1.31,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,26.12,1.31,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.62,1.31,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.17,1.17,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,25.4,0.9,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,25.74,0.76,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,25.96,0.9,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,25.97,0.76,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,25.83,0.76,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,25.74,0.69,0.0
20180101:1130,781.09,227.79,40.91,1.08,3.35,25.76,0.48,0.0
20180101:1230,1559.52,431.54,103.67,6.05,16.62,25.85,0.14,0.0
20180101:1330,2228.5,645.72,152.06,13.01,29.31,27.12,0.14,0.0
20180101:1430,2177.83,619.58,159.43,16.19,40.92,29.19,0.34,0.0
20180101:1530,2083.31,512.57,227.66,18.35,50.44,30.5,0.69,0.0
20180101:1630,2258.99,556.05,254.43,21.48,56.07,31.4,0.97,0.0
20180101:1730,2021.71,433.0,285.7,19.5,55.81,32.44,1.1,0.0
20180101:1830,1970.97,429.94,273.45,17.81,49.77,32.75,0.9,0.0
20180101:1930,1525.1,305.89,226.52,12.47,40.02,32.43,1.03,0.0
20180101:2030,1164.32,244.14,158.45,7.98,28.3,32.07,1.31,0.0
20180101:2130,932.47,219.32,103.94,4.4,15.55,31.11,1.24,0.0
20180101:2230,5.89,0.0,9.51,0.37,2.23,30.22,1.52,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,28.97,1.45,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,28.26,1.31,0.0
