Latitude (decimal degrees):	5.426
Longitude (decimal degrees):	-76.729
Elevation (m):	63
Radiation database:	PVGIS-ERA5


Slope: 38 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.11,1.24,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.64,1.17,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.28,0.97,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.07,0.97,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.84,1.17,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.57,1.1,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.34,0.9,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,22.95,0.21,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,22.61,0.34,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.72,0.69,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,22.45,0.83,0.0
20180101:1130,0.0,0.0,4.89,0.12,2.38,22.34,0.76,0.0
20180101:1230,184.76,31.71,43.25,1.16,15.97,22.42,0.69,0.0
20180101:1330,565.99,91.6,104.07,3.22,29.18,22.67,0.9,0.0
20180101:1430,802.84,104.35,166.89,5.1,41.62,22.8,0.97,0.0
20180101:1530,784.86,135.63,128.6,5.05,52.46,23.25,1.24,0.0
20180101:1630,932.7,106.92,205.99,6.54,59.91,23.02,1.24,0.0
20180101:1730,943.44,152.15,162.87,6.4,61.16,23.32,1.38,0.0
20180101:1830,494.69,27.13,147.59,3.85,55.54,23.73,1.72,0.0
20180101:1930,1034.34,82.77,264.93,7.12,45.59,23.0,1.17,0.0
20180101:2030,546.47,61.86,129.36,3.6,33.58,23.83,0.76,0.0
20180101:2130,426.73,81.81,70.6,2.15,20.58,23.62,1.03,0.0
20180101:2230,236.74,63.5,28.81,0.72,7.09,23.46,0.97,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,23.0,0.55,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,22.52,0.62,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,22.42,0.69,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,22.29,0.28,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,21.48,0.62,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,21.42,0.55,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,21.55,0.41,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,21.7,0.69,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,21.47,0.48,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,21.39,0.41,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,20.96,0.69,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,20.65,0.83,0.0
20180102:1130,4.27,0.0,8.45,0.21,2.29,20.9,1.1,0.0
20180102:1230,519.13,90.23,90.12,2.38,15.89,21.36,0.97,0.0
20180102:1330,893.97,161.01,139.15,4.55,29.11,22.32,0.55,0.0
20180102:1430,1137.17,212.62,169.16,6.46,41.57,23.31,0.34,0.0
20180102:1530,1208.4,229.36,178.62,7.55,52.45,24.03,0.07,0.0
20180102:1630,1317.51,204.15,246.24,9.04,59.95,25.49,0.07,0.0
20180102:1730,1267.84,219.63,214.33,8.69,61.26,26.34,0.07,0.0
20180102:1830,1938.24,450.82,228.86,12.29,55.67,26.85,0.28,0.0
20180102:1930,2075.5,559.62,168.39,11.42,45.73,28.73,1.1,0.0
20180102:2030,1468.04,330.61,173.85,7.2,33.7,29.03,1.24,0.0
20180102:2130,770.19,176.27,90.44,3.16,20.7,28.72,1.38,0.0
20180102:2230,325.83,92.94,30.08,0.81,7.21,27.62,0.9,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,26.34,0.83,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,25.39,0.83,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,24.53,1.03,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,24.15,1.17,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,23.76,1.17,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,23.59,1.1,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,23.44,1.1,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,23.14,1.03,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,23.54,1.03,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,23.29,1.24,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,22.86,1.31,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,22.52,1.03,0.0
20180103:1130,0.0,0.0,3.97,0.1,2.2,22.59,0.76,0.0
20180103:1230,54.32,0.0,30.32,0.7,15.82,22.49,0.55,0.0
20180103:1330,384.62,29.59,110.38,2.81,29.05,23.55,0.9,0.0
20180103:1430,705.05,65.24,175.87,4.83,41.53,23.41,1.24,0.0
20180103:1530,1025.45,96.93,250.05,7.16,52.45,24.49,1.03,0.0
20180103:1630,1215.56,152.4,260.49,8.51,60.0,25.49,0.69,0.0
20180103:1730,1265.19,147.93,285.24,9.04,61.37,26.33,0.48,0.0
20180103:1830,1767.96,382.99,228.13,11.22,55.81,26.94,0.62,0.0
20180103:1930,1452.07,242.87,254.33,8.87,45.86,29.06,1.86,0.0
20180103:2030,1798.8,457.66,162.66,8.34,33.84,28.65,1.52,0.0
20180103:2130,1181.6,299.15,104.21,4.24,20.82,28.42,1.31,0.0
20180103:2230,201.05,52.07,29.87,0.74,7.32,27.03,0.9,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,25.87,0.62,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,24.71,0.9,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,24.03,0.83,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,23.83,0.76,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,23.6,0.69,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,23.47,0.62,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,23.46,0.9,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,23.31,0.83,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,23.09,0.97,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,22.96,1.17,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,22.77,1.45,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,22.59,1.24,0.0
20180104:1130,0.0,0.0,2.59,0.06,2.11,22.52,0.55,0.0
20180104:1230,13.82,0.0,13.52,0.31,15.74,22.81,0.55,0.0
20180104:1330,27.6,0.0,19.7,0.46,28.99,22.74,0.34,0.0
20180104:1430,81.58,0.0,40.44,0.94,41.5,23.0,0.83,0.0
20180104:1530,88.16,0.0,42.77,0.99,52.45,22.84,0.62,0.0
20180104:1630,244.32,12.3,82.51,2.13,60.06,22.79,0.62,0.0
20180104:1730,419.5,53.72,95.82,3.17,61.49,22.84,0.97,0.0
20180104:1830,1579.35,244.36,285.41,10.27,55.95,22.97,1.1,0.0
20180104:1930,1472.28,202.57,299.47,9.32,46.0,25.19,0.69,0.0
20180104:2030,1371.83,265.27,204.64,7.15,33.97,26.3,0.34,0.0
20180104:2130,745.78,127.63,130.61,3.64,20.95,26.3,0.41,0.0
20180104:2230,261.22,63.39,37.8,0.9,7.44,25.14,0.14,0.0
20180104:2330,0.0,0.0,0.0,0.0,-6.31,24.32,0.21,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,24.08,0.55,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,23.62,0.55,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,23.62,0.21,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,23.11,0.34,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,22.46,0.34,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,21.99,0.55,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,21.93,0.28,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,22.82,0.14,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,22.01,0.69,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,22.51,0.28,0.0
20180105:1030,0.0,0.0,0.0,0.0,0.0,22.14,0.97,0.0
20180105:1130,5.81,0.0,9.37,0.23,2.03,22.15,0.83,0.0
20180105:1230,1146.22,276.07,107.0,3.47,15.67,22.13,0.55,0.0
20180105:1330,809.77,110.61,165.55,4.66,28.94,23.62,0.28,0.0
20180105:1430,569.11,59.08,140.23,3.96,41.47,24.46,0.41,0.0
20180105:1530,1126.59,219.57,159.77,7.0,52.46,24.93,0.62,0.0
20180105:1630,1556.9,343.76,186.53,10.13,60.13,26.13,0.62,0.0
20180105:1730,1801.45,390.09,232.15,12.02,61.61,27.28,0.83,0.0
20180105:1830,2195.35,592.05,175.28,13.58,56.1,27.67,1.24,0.0
20180105:1930,1876.61,466.1,182.22,10.44,46.15,28.91,1.59,0.0
20180105:2030,873.1,122.25,176.43,5.22,34.1,26.67,1.38,0.0
20180105:2130,240.01,37.05,56.73,1.57,21.07,24.99,1.1,0.0
20180105:2230,47.39,15.91,11.73,0.31,7.55,24.16,0.69,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,23.49,0.83,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,23.2,0.69,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,23.02,0.83,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,23.0,0.21,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,22.75,0.9,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,22.54,0.97,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,22.39,0.9,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,22.15,0.62,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,22.47,0.21,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,21.64,0.48,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,21.82,0.48,0.0
20180106:1030,0.0,0.0,0.0,0.0,0.0,21.67,0.41,0.0
