Latitude (decimal degrees):	8.479
Longitude (decimal degrees):	-75.884
Elevation (m):	41
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.99,2.07,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.6,1.59,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.18,0.76,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.91,0.48,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.49,0.21,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.14,0.34,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.96,0.34,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.74,1.72,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.82,1.66,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.88,1.38,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,24.02,0.97,0.0
20180101:1130,13.59,0.0,13.36,0.42,1.94,23.93,1.17,0.0
20180101:1230,779.39,160.65,103.64,3.66,15.37,24.31,1.24,0.0
20180101:1330,1890.7,461.94,178.73,9.87,28.32,25.33,1.66,0.0
20180101:1430,2117.08,491.54,224.83,13.82,40.35,26.72,2.97,0.0
20180101:1530,2373.79,608.24,211.12,17.73,50.58,27.86,2.48,0.0
20180101:1630,2398.24,620.97,217.65,19.73,57.24,29.03,2.07,0.0
20180101:1730,2226.99,553.15,228.91,18.72,58.01,29.88,1.59,0.0
20180101:1830,2247.67,554.57,239.14,17.82,52.53,30.37,1.59,0.0
20180101:1930,2103.45,518.46,218.1,14.62,42.93,30.53,1.79,0.0
20180101:2030,1358.51,293.06,171.92,8.37,31.21,30.47,1.86,0.0
20180101:2130,700.28,136.04,106.23,3.92,18.43,28.82,2.9,0.0
20180101:2230,400.21,112.29,33.77,0.95,5.08,27.42,2.62,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,26.68,2.34,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,26.04,2.21,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,24.84,1.86,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.51,1.93,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.54,2.14,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,24.36,2.14,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,24.12,1.93,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.89,1.59,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.56,1.52,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,23.54,1.52,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,23.35,1.03,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,23.23,0.76,0.0
20180102:1130,4.04,0.0,8.3,0.26,1.85,23.34,0.34,0.0
20180102:1230,230.46,29.03,60.93,2.01,15.3,23.48,0.21,0.0
20180102:1330,731.38,103.01,146.1,5.45,28.26,24.08,0.69,0.0
20180102:1430,618.54,83.13,129.28,5.25,40.32,24.79,1.72,0.0
20180102:1530,1498.5,211.49,287.85,12.48,50.58,25.41,2.41,0.0
20180102:1630,1665.32,302.24,257.06,14.06,57.29,26.97,2.34,0.0
20180102:1730,2051.93,447.41,254.11,17.13,58.11,27.96,2.21,0.0
20180102:1830,2353.85,589.67,229.43,18.3,52.65,28.51,2.14,0.0
20180102:1930,1869.06,475.83,179.33,13.04,43.06,30.01,0.76,0.0
20180102:2030,1913.68,481.09,187.88,10.95,31.34,30.11,1.31,0.0
20180102:2130,1310.73,313.34,136.15,5.68,18.55,29.86,1.59,0.0
20180102:2230,504.23,137.13,44.25,1.16,5.2,29.2,1.52,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,28.12,1.38,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,27.09,1.31,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,26.09,1.45,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,25.58,1.59,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,25.01,1.59,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,24.56,1.17,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,24.7,0.62,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,24.78,0.48,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,24.29,0.76,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,24.18,1.03,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,23.97,1.24,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,23.88,1.38,0.0
20180103:1130,3.58,0.0,8.04,0.25,1.77,23.74,1.31,0.0
20180103:1230,192.96,13.92,63.97,2.04,15.23,23.79,0.97,0.0
20180103:1330,242.24,6.51,87.78,2.8,28.21,24.49,0.69,0.0
20180103:1430,584.04,32.87,170.73,5.76,40.29,24.86,0.62,0.0
20180103:1530,696.2,44.76,194.84,6.86,50.59,25.57,1.03,0.0
20180103:1630,835.14,21.85,264.14,8.64,57.35,26.19,1.17,0.0
20180103:1730,746.94,8.48,249.7,7.94,58.22,27.01,1.45,0.0
20180103:1830,1531.22,272.31,249.24,12.72,52.79,27.47,1.03,0.0
20180103:1930,1319.43,268.79,180.85,9.75,43.2,29.69,1.59,0.0
20180103:2030,1539.58,354.17,169.4,9.06,31.48,29.6,2.34,0.0
20180103:2130,1001.77,234.14,106.57,4.57,18.68,29.15,2.55,0.0
20180103:2230,472.74,137.96,31.86,0.97,5.31,28.31,2.55,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,27.19,2.83,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,26.35,2.48,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,25.7,1.93,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,25.28,1.31,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,24.83,1.24,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,24.52,1.38,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,24.19,1.24,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,23.74,1.03,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,23.54,0.55,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,23.22,0.07,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,23.0,0.21,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,22.98,0.41,0.0
20180104:1130,12.51,0.0,12.8,0.4,1.68,22.94,0.21,0.0
20180104:1230,464.31,77.83,86.12,2.89,15.16,22.95,0.34,0.0
20180104:1330,828.29,98.59,181.17,6.38,28.16,23.7,0.97,0.0
20180104:1430,1590.28,348.77,186.0,10.74,40.26,24.86,1.03,0.0
20180104:1530,1730.61,371.13,216.53,13.4,50.6,26.04,1.03,0.0
20180104:1630,1844.54,403.24,230.91,15.46,57.42,27.05,0.83,0.0
