Latitude (decimal degrees):	5.101
Longitude (decimal degrees):	-74.385
Elevation (m):	1114
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,18.51,0.62,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,18.37,0.55,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,18.41,0.28,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,18.12,0.48,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,17.78,0.28,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,17.38,0.62,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,17.26,0.69,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,17.51,0.76,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,16.77,0.9,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,16.72,0.83,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,16.83,0.83,0.0
20180101:1130,17.59,0.0,14.85,0.49,4.65,16.94,0.69,0.0
20180101:1230,930.7,201.05,102.82,4.09,18.21,17.21,0.48,0.0
20180101:1330,1558.33,342.1,170.78,8.68,31.35,18.63,0.34,0.0
20180101:1430,1874.22,458.64,161.87,12.08,43.65,19.75,0.83,0.0
20180101:1530,1795.79,417.29,173.88,13.3,54.17,20.7,1.24,0.0
20180101:1630,1900.01,401.69,227.12,15.38,60.89,21.27,1.45,0.0
20180101:1730,1829.17,424.67,177.76,14.61,61.01,21.96,1.72,0.0
20180101:1830,2056.59,483.65,197.08,15.24,54.46,21.63,2.0,0.0
20180101:1930,2033.65,410.6,265.61,13.84,44.02,21.95,2.14,0.0
20180101:2030,1456.57,299.22,179.81,8.46,31.76,21.93,1.72,0.0
20180101:2130,1076.23,238.07,116.26,4.67,18.64,21.02,1.31,0.0
20180101:2230,23.14,0.0,17.44,0.57,5.09,20.18,1.17,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,19.01,0.55,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,18.39,0.14,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,18.18,0.41,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,18.16,0.41,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,17.96,0.34,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,17.77,0.21,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,17.56,0.07,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,17.37,0.28,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,15.9,1.1,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,16.1,1.1,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,15.48,1.24,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,14.98,1.24,0.0
20180102:1130,29.03,0.0,19.52,0.64,4.56,14.49,1.31,0.0
20180102:1230,1581.81,386.0,122.58,5.69,18.13,15.27,1.1,0.0
