Latitude (decimal degrees):	2.635
Longitude (decimal degrees):	-68.780
Elevation (m):	152
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,24.91,1.17,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.49,1.24,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.22,1.31,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,23.95,1.1,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.79,0.9,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.48,0.97,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.29,0.9,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.29,0.97,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.14,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.85,0.21,0.0
20180101:1030,0.0,0.0,0.0,0.0,-2.99,22.78,0.62,0.0
20180101:1130,154.46,14.53,50.47,1.52,10.77,22.74,0.69,0.0
20180101:1230,501.54,55.47,120.02,3.97,24.32,22.97,0.9,0.0
20180101:1330,953.26,83.95,236.72,7.97,37.41,23.91,1.17,0.0
20180101:1430,1318.97,175.36,267.04,10.76,49.52,25.13,1.38,0.0
20180101:1530,1852.16,313.65,321.01,15.71,59.39,26.25,1.1,0.0
20180101:1630,2064.18,404.04,317.42,18.24,64.27,27.44,0.83,0.0
20180101:1730,1813.08,288.27,342.05,16.01,61.45,28.68,0.97,0.0
20180101:1830,2152.84,531.62,234.54,16.64,52.64,28.65,0.48,0.0
20180101:1930,2393.51,674.49,168.72,15.05,40.99,28.39,1.59,0.0
20180101:2030,1691.34,412.15,165.76,8.72,28.1,28.33,1.72,0.0
20180101:2130,663.66,144.87,85.87,3.0,14.65,27.34,1.1,0.0
20180101:2230,0.0,0.0,5.44,0.18,0.93,25.89,0.28,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,25.44,0.69,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.03,0.83,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,24.65,0.97,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.34,1.1,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.08,1.1,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.84,1.17,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.5,1.03,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.15,0.69,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.08,1.03,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,22.91,1.03,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,22.74,0.97,0.0
20180102:1030,0.0,0.0,0.0,0.0,-3.09,22.72,0.76,0.0
20180102:1130,654.27,155.0,68.8,2.24,10.67,22.71,0.55,0.0
20180102:1230,1578.54,384.3,149.19,7.38,24.24,23.73,0.48,0.0
20180102:1330,843.92,143.79,144.05,6.16,37.35,25.49,0.07,0.0
20180102:1430,2139.06,543.13,206.57,15.56,49.49,25.09,0.21,0.0
20180102:1530,2086.78,489.35,252.57,17.54,59.41,27.54,0.07,0.0
20180102:1630,1115.58,185.65,194.51,10.0,64.35,28.11,0.62,0.0
20180102:1730,1870.37,408.15,236.35,15.76,61.58,26.05,0.48,0.0
20180102:1830,2179.6,585.55,190.63,16.65,52.78,27.27,0.14,0.0
20180102:1930,2023.18,505.42,203.16,13.21,41.12,27.77,0.69,0.0
20180102:2030,1043.85,227.92,133.03,6.12,28.23,29.27,0.07,0.0
20180102:2130,704.09,156.62,86.3,3.08,14.76,25.77,0.41,0.0
20180102:2230,2.0,0.0,7.07,0.23,1.04,25.3,0.83,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,24.86,1.31,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,24.38,1.24,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,24.1,1.38,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,23.69,1.24,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,23.42,1.24,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,23.15,1.17,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,22.97,1.03,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,22.67,1.17,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,22.77,1.24,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,22.64,1.17,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,22.58,1.03,0.0
20180103:1030,0.0,0.0,0.0,0.0,-3.19,22.43,0.97,0.0
20180103:1130,698.24,178.0,58.67,2.12,10.59,22.36,0.97,0.0
20180103:1230,1038.96,206.15,139.53,5.63,24.16,23.37,1.45,0.0
20180103:1330,1648.03,381.06,172.6,10.07,37.29,24.55,1.17,0.0
20180103:1430,1581.23,214.14,323.94,12.92,49.46,26.01,1.03,0.0
20180103:1530,2306.84,537.08,277.94,19.19,59.42,27.04,0.83,0.0
20180103:1630,1872.49,298.28,355.64,16.96,64.43,28.39,0.76,0.0
20180103:1730,2101.18,475.49,262.16,17.92,61.71,28.72,0.97,0.0
20180103:1830,2100.33,546.97,184.54,15.79,52.92,28.53,1.24,0.0
20180103:1930,2318.39,699.27,128.83,14.69,41.25,29.35,0.9,0.0
20180103:2030,1637.94,437.88,127.65,8.28,28.35,29.02,0.9,0.0
20180103:2130,764.53,171.81,89.86,3.23,14.88,26.87,2.0,0.0
20180103:2230,8.2,0.0,10.71,0.35,1.15,26.21,1.17,0.0
