Latitude (decimal degrees):	11.529
Longitude (decimal degrees):	-72.880
Elevation (m):	5
Radiation database:	PVGIS-ERA5


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.98,3.72,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,26.02,3.59,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.81,3.66,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.48,3.52,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.89,3.59,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.29,3.38,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.93,3.31,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,24.04,3.38,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,24.1,3.1,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,24.11,2.9,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,23.96,2.62,0.0
20180101:1130,248.4,80.22,15.23,0.53,3.4,23.85,2.9,0.0
20180101:1230,533.84,113.36,71.19,3.1,16.58,24.04,2.55,0.0
20180101:1330,930.08,190.18,118.57,6.33,29.12,24.75,2.76,0.0
20180101:1430,1966.54,449.45,206.41,14.31,40.49,25.65,3.03,0.0
20180101:1530,2019.79,463.39,212.09,16.69,49.69,27.16,3.52,0.0
20180101:1630,2276.24,565.14,204.46,19.95,54.93,27.9,3.52,0.0
20180101:1730,2036.53,475.38,211.21,17.95,54.41,28.71,3.45,0.0
20180101:1830,2204.74,532.96,212.56,17.83,48.35,29.1,4.14,0.0
20180101:1930,1740.7,411.31,169.97,12.33,38.69,29.25,4.48,0.0
20180101:2030,1439.32,320.31,158.38,8.59,27.06,28.86,5.1,0.0
20180101:2130,669.05,160.24,68.04,3.06,14.39,26.71,4.97,0.0
20180101:2230,3.93,0.0,8.27,0.29,1.13,26.33,3.72,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,26.26,3.1,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,26.12,2.97,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,25.83,3.17,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,25.49,3.79,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.84,3.93,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,24.19,3.52,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,24.0,2.9,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.96,2.83,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.76,3.03,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,23.85,3.1,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,23.88,3.31,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,23.91,3.66,0.0
20180102:1130,603.95,173.82,33.65,0.93,3.32,23.98,3.1,0.0
20180102:1230,1326.21,332.02,105.34,5.32,16.51,24.18,2.76,0.0
20180102:1330,1616.38,411.34,118.07,9.08,29.07,25.03,4.0,0.0
20180102:1430,2207.71,577.31,157.54,15.25,40.47,26.22,4.21,0.0
20180102:1530,2480.29,649.29,187.59,19.94,49.7,27.59,4.41,0.0
20180102:1630,2317.93,560.79,221.83,20.35,54.99,28.71,4.34,0.0
20180102:1730,2606.26,708.5,185.76,22.68,54.52,29.58,4.21,0.0
20180102:1830,2520.02,700.43,167.34,20.14,48.48,30.3,4.0,0.0
20180102:1930,2034.99,512.71,182.76,14.36,38.82,30.3,3.24,0.0
20180102:2030,1153.5,243.73,147.26,7.5,27.19,29.75,2.48,0.0
20180102:2130,571.03,119.96,80.56,3.2,14.51,27.74,1.38,0.0
20180102:2230,2.39,0.0,7.34,0.26,1.25,27.06,0.83,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,26.49,0.34,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,25.95,0.69,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,25.5,1.03,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,24.94,1.17,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,25.0,1.52,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,24.93,2.14,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,24.4,2.69,0.0
