Latitude (decimal degrees):	1.870
Longitude (decimal degrees):	-72.158
Elevation (m):	210
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,24.32,1.24,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.07,1.31,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,23.9,1.31,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,23.9,1.24,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.72,1.1,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.52,1.03,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.27,1.03,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.27,0.97,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,22.83,1.03,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.7,1.03,0.0
20180101:1030,0.0,0.0,0.0,0.0,-5.8,22.61,1.03,0.0
20180101:1130,168.44,46.46,22.77,0.81,7.98,22.5,1.03,0.0
20180101:1230,739.74,126.62,123.03,4.66,21.63,23.03,1.31,0.0
20180101:1330,1901.36,428.61,209.44,11.73,34.91,24.29,1.93,0.0
20180101:1430,1388.19,196.35,267.34,11.61,47.4,25.34,1.86,0.0
20180101:1530,637.56,34.39,185.08,6.63,58.09,25.3,2.14,0.0
20180101:1630,457.07,6.11,156.23,5.12,64.55,24.46,2.07,0.0
20180101:1730,1262.45,81.75,338.66,12.57,63.46,24.35,2.07,0.0
20180101:1830,751.48,47.68,208.84,7.6,55.53,25.92,1.93,0.0
20180101:1930,490.8,18.06,155.74,5.25,44.2,24.7,0.55,0.0
20180101:2030,673.06,61.0,170.75,6.02,31.44,24.23,0.14,0.0
20180101:2130,444.75,53.38,105.63,3.55,18.03,24.57,0.28,0.0
20180101:2230,147.3,42.15,20.84,0.63,4.34,24.44,0.34,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,23.94,0.69,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,23.62,0.97,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,23.32,1.1,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,23.18,0.97,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,22.97,1.03,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,22.83,1.03,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,22.56,1.03,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,22.36,0.97,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,21.98,1.03,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,21.82,1.03,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,21.63,0.97,0.0
20180102:1030,0.0,0.0,0.0,0.0,-5.91,21.43,0.83,0.0
20180102:1130,1058.33,280.56,70.37,2.26,7.89,21.03,0.9,0.0
20180102:1230,1744.28,469.26,119.11,7.37,21.55,22.59,0.55,0.0
20180102:1330,2025.18,524.19,161.77,11.94,34.84,24.29,1.45,0.0
20180102:1430,1320.01,268.54,170.93,10.14,47.36,25.55,1.66,0.0
20180102:1530,1638.64,336.03,213.63,13.97,58.09,26.38,1.79,0.0
20180102:1630,1702.86,317.08,259.57,15.74,64.61,27.04,1.52,0.0
20180102:1730,1441.98,255.35,233.38,13.39,63.58,27.33,0.97,0.0
20180102:1830,1486.64,239.48,263.05,13.06,55.67,26.21,1.03,0.0
20180102:1930,1714.14,363.12,225.5,12.82,44.34,27.42,0.83,0.0
20180102:2030,1280.97,287.56,140.89,7.75,31.56,25.94,1.59,0.0
20180102:2130,587.09,123.3,80.03,3.24,18.15,25.09,1.17,0.0
20180102:2230,434.74,120.71,35.15,0.95,4.44,24.41,0.69,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,24.03,1.17,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,23.57,1.17,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,23.21,1.24,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,22.83,1.24,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,22.48,1.17,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,22.17,1.17,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,21.98,1.17,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,21.73,1.38,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,21.76,1.45,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,21.53,1.45,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,21.34,1.45,0.0
20180103:1030,0.0,0.0,0.0,0.0,-6.01,21.2,1.45,0.0
20180103:1130,1252.75,339.28,73.59,2.45,7.8,21.06,1.52,0.0
20180103:1230,2049.74,577.45,113.93,8.28,21.46,21.95,1.17,0.0
20180103:1330,2366.56,641.3,157.62,13.5,34.78,23.93,2.62,0.0
20180103:1430,2176.33,483.56,250.04,16.02,47.32,25.38,2.76,0.0
20180103:1530,1838.84,294.88,323.83,16.21,58.09,26.94,2.83,0.0
20180103:1630,1613.84,199.26,348.29,15.59,64.68,27.97,2.07,0.0
20180103:1730,2011.66,357.86,336.73,18.77,63.7,28.29,1.66,0.0
20180103:1830,2537.88,757.37,146.63,21.01,55.8,28.98,1.38,0.0
20180103:1930,2291.14,605.88,204.93,16.43,44.47,29.39,1.31,0.0
20180103:2030,2012.66,528.42,176.73,11.59,31.69,28.98,1.03,0.0
20180103:2130,1160.08,301.69,91.88,4.77,18.27,27.84,1.31,0.0
20180103:2230,478.86,141.94,28.54,0.87,4.55,25.95,1.45,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,25.13,1.86,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,24.28,1.79,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,23.78,1.45,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,23.42,1.17,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,23.06,0.9,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,22.66,0.69,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,22.25,0.97,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,21.99,0.9,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,22.17,0.62,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,22.49,0.14,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,22.33,0.21,0.0
20180104:1030,0.0,0.0,0.0,0.0,-6.11,21.7,0.62,0.0
20180104:1130,1280.09,344.27,79.47,2.51,7.71,21.27,1.17,0.0
20180104:1230,1922.65,526.58,128.97,8.03,21.39,22.95,0.55,0.0
20180104:1330,2501.46,747.42,131.01,14.49,34.72,25.31,1.17,0.0
20180104:1430,2746.55,834.79,137.42,19.88,47.28,27.09,1.86,0.0
20180104:1530,2663.08,797.01,146.14,22.57,58.09,28.49,1.86,0.0
20180104:1630,2293.37,552.84,248.9,21.21,64.75,29.49,1.86,0.0
20180104:1730,2083.89,528.3,190.88,18.82,63.83,29.43,1.86,0.0
20180104:1830,1887.46,438.35,212.77,15.8,55.95,28.35,1.1,0.0
20180104:1930,1396.43,223.03,250.01,11.28,44.6,26.8,1.1,0.0
20180104:2030,1664.7,382.73,184.09,9.98,31.82,26.62,1.1,0.0
20180104:2130,1108.99,252.21,123.57,5.1,18.38,26.9,1.17,0.0
20180104:2230,649.11,183.38,42.4,1.14,4.66,26.33,1.1,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,25.45,1.45,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,24.74,1.31,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,24.28,1.24,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,23.94,1.17,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,23.57,1.17,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,23.3,1.03,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,22.96,1.1,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,22.68,1.03,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,23.14,1.45,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,22.91,1.31,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,22.77,1.31,0.0
20180105:1030,0.0,0.0,0.0,0.0,-6.21,22.64,1.31,0.0
20180105:1130,610.3,174.36,34.53,1.38,7.62,22.52,1.1,0.0
20180105:1230,1488.53,390.73,109.82,6.43,21.31,23.04,0.28,0.0
20180105:1330,1926.77,535.73,127.95,11.32,34.66,24.95,0.34,0.0
20180105:1430,2329.75,611.34,213.75,17.42,47.25,26.54,0.62,0.0
20180105:1530,2399.09,680.62,166.61,20.41,58.11,27.72,1.03,0.0
20180105:1630,1876.41,483.51,157.36,16.99,64.83,29.11,1.72,0.0
20180105:1730,1703.89,350.68,233.37,15.7,63.97,27.83,0.83,0.0
20180105:1830,1763.45,343.78,256.82,15.05,56.09,28.16,1.79,0.0
20180105:1930,1961.15,445.22,240.81,14.63,44.74,27.98,0.62,0.0
20180105:2030,1479.82,330.09,182.21,9.33,31.94,28.07,0.07,0.0
20180105:2130,1026.87,221.45,128.27,5.03,18.5,27.06,0.83,0.0
20180105:2230,432.01,120.77,35.56,0.99,4.77,26.13,0.34,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,25.57,0.69,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,25.17,0.69,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,24.67,0.69,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,24.05,0.69,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,23.85,1.1,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,23.48,1.38,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,23.16,1.17,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,22.68,0.83,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,22.45,0.69,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,22.21,0.55,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,22.18,0.48,0.0
20180106:1030,0.0,0.0,0.0,0.0,-6.31,22.21,0.28,0.0
20180106:1130,588.67,128.7,74.53,1.98,7.53,21.84,0.07,0.0
20180106:1230,1605.68,377.3,168.64,7.45,21.24,22.92,0.0,0.0
20180106:1330,1944.56,528.95,145.68,11.6,34.6,25.38,0.21,0.0
20180106:1430,2610.84,792.26,162.04,19.6,47.22,26.8,0.28,0.0
20180106:1530,2670.51,803.45,163.39,23.15,58.13,28.68,1.03,0.0
20180106:1630,2336.6,652.16,162.6,21.42,64.92,29.7,2.0,0.0
20180106:1730,2260.99,627.63,151.34,20.29,64.11,29.91,2.62,0.0
20180106:1830,2229.23,618.82,147.42,18.07,56.24,29.92,2.83,0.0
20180106:1930,2289.6,599.47,194.36,16.17,44.88,29.97,2.76,0.0
20180106:2030,2000.42,525.88,160.76,11.31,32.07,29.72,2.69,0.0
20180106:2130,1193.0,282.35,122.93,5.32,18.62,28.96,2.07,0.0
20180106:2230,637.48,178.61,44.51,1.19,4.87,27.76,1.52,0.0
20180106:2330,0.0,0.0,0.0,0.0,0.0,26.71,1.52,0.0
20180107:0030,0.0,0.0,0.0,0.0,0.0,25.66,1.52,0.0
20180107:0130,0.0,0.0,0.0,0.0,0.0,25.03,1.52,0.0
20180107:0230,0.0,0.0,0.0,0.0,0.0,24.51,1.38,0.0
20180107:0330,0.0,0.0,0.0,0.0,0.0,24.06,1.24,0.0
20180107:0430,0.0,0.0,0.0,0.0,0.0,23.59,1.31,0.0
20180107:0530,0.0,0.0,0.0,0.0,0.0,23.16,1.24,0.0
