Latitude (decimal degrees):	2.700
Longitude (decimal degrees):	-75.422
Elevation (m):	563
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,24.12,1.24,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.87,0.97,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.58,1.1,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.07,1.17,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.02,0.97,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.69,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.45,0.34,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.19,0.9,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.03,0.83,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.97,0.83,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,22.76,0.76,0.0
20180101:1130,397.51,107.64,35.03,1.03,4.66,22.54,0.62,0.0
20180101:1230,540.16,105.16,81.52,3.41,18.33,22.65,0.55,0.0
20180101:1330,508.51,58.15,118.62,4.8,31.66,22.27,0.14,0.0
20180101:1430,1002.92,147.26,187.3,8.94,44.3,22.8,0.28,0.0
20180101:1530,1172.56,198.59,192.26,10.99,55.38,23.37,0.21,0.0
20180101:1630,1151.77,136.85,249.78,12.0,62.9,24.15,0.21,0.0
20180101:1730,1853.62,426.74,209.73,18.22,63.58,25.0,0.07,0.0
20180101:1830,2031.53,461.94,245.93,18.79,57.0,26.35,0.34,0.0
20180101:1930,2151.19,483.74,261.97,17.35,46.33,26.42,1.1,0.0
20180101:2030,1168.78,198.95,196.23,9.04,33.88,26.92,1.03,0.0
20180101:2130,774.12,149.4,116.41,4.89,20.63,26.67,0.48,0.0
20180101:2230,622.51,151.99,65.01,1.86,7.0,26.12,0.83,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,25.5,0.41,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.14,0.62,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,25.14,0.55,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.94,0.48,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.7,0.62,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.84,1.1,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.48,0.83,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,22.9,1.1,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.67,0.83,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,23.72,0.83,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,23.7,0.55,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,23.32,0.41,0.0
20180102:1130,673.06,184.47,46.35,1.26,4.57,23.02,0.28,0.0
20180102:1230,1047.58,235.38,115.28,5.12,18.24,23.09,0.34,0.0
20180102:1330,2312.23,629.42,182.68,13.86,31.59,23.43,0.28,0.0
20180102:1430,2045.47,547.64,160.64,15.39,44.25,25.17,0.34,0.0
20180102:1530,2053.59,580.78,134.2,18.03,55.37,26.22,0.21,0.0
20180102:1630,2167.2,572.64,181.33,21.07,62.95,27.02,0.76,0.0
20180102:1730,1944.48,362.46,308.77,19.59,63.69,28.24,1.24,0.0
20180102:1830,2421.15,671.4,185.64,22.07,57.13,28.54,1.17,0.0
20180102:1930,2316.04,656.95,180.02,18.56,46.46,29.6,0.41,0.0
20180102:2030,1534.53,356.01,174.09,10.5,34.0,29.75,0.76,0.0
20180102:2130,1473.32,372.57,133.71,7.06,20.74,28.47,0.76,0.0
20180102:2230,909.99,248.58,62.31,2.01,7.11,26.69,0.97,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,25.81,0.97,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,26.16,0.55,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,25.82,0.41,0.0
