Latitude (decimal degrees):	10.126
Longitude (decimal degrees):	-74.499
Elevation (m):	125
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,27.02,2.48,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,26.43,2.0,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.96,1.38,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.72,1.38,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.17,1.38,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.83,1.24,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,24.85,1.1,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,24.72,1.17,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,24.4,0.76,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,24.77,0.48,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,24.18,0.69,0.0
20180101:1130,979.71,289.7,40.59,0.96,2.52,23.76,0.97,0.0
20180101:1230,1449.87,395.59,90.83,5.21,15.84,24.16,0.9,0.0
20180101:1330,2285.82,660.12,137.88,12.33,28.58,26.6,1.24,0.0
20180101:1430,2314.54,683.11,134.2,16.07,40.3,28.52,1.1,0.0
20180101:1530,2547.51,776.99,154.67,21.31,50.02,29.88,0.62,0.0
20180101:1630,2389.93,734.47,139.89,21.83,55.98,31.33,0.41,0.0
20180101:1730,2465.27,722.88,173.98,22.5,56.13,32.32,1.1,0.0
20180101:1830,2263.61,586.68,218.52,19.04,50.4,32.92,1.93,0.0
20180101:1930,1785.67,466.89,156.49,12.97,40.81,32.98,1.72,0.0
20180101:2030,1630.78,413.06,149.19,9.6,29.16,32.19,2.34,0.0
20180101:2130,1163.59,295.55,103.5,4.89,16.45,31.87,2.76,0.0
20180101:2230,601.87,183.23,30.36,0.85,3.16,30.84,2.83,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,29.45,2.48,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,28.42,1.93,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,27.62,1.59,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,26.97,1.31,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,26.38,1.38,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,25.85,1.38,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,25.47,1.45,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,25.42,1.38,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,24.95,1.31,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,24.64,1.31,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,24.31,1.38,0.0
