Latitude (decimal degrees):	3.411
Longitude (decimal degrees):	-73.029
Elevation (m):	226
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,26.14,2.97,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.31,2.62,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.7,2.21,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.04,1.86,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.86,1.59,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.69,1.31,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.63,1.38,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.32,0.55,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.45,0.14,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.35,0.34,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,23.01,1.17,0.0
20180101:1130,200.16,64.45,14.99,0.64,6.57,22.69,1.79,0.0
20180101:1230,225.34,26.21,61.35,2.31,20.17,22.91,1.72,0.0
20180101:1330,948.49,157.88,157.29,7.32,33.38,23.82,1.86,0.0
20180101:1430,2023.25,421.05,260.53,16.01,45.76,25.41,2.28,0.0
20180101:1530,1270.15,165.04,256.81,12.36,56.34,27.52,4.0,0.0
20180101:1630,1366.63,217.33,231.35,13.36,62.86,25.9,3.93,0.0
20180101:1730,1316.05,177.79,258.77,13.21,62.27,26.53,3.03,0.0
20180101:1830,1863.55,355.69,266.81,16.59,54.94,27.67,3.72,0.0
20180101:1930,1565.22,255.64,272.22,13.26,44.0,28.69,2.83,0.0
20180101:2030,1403.4,260.03,213.25,9.89,31.45,28.29,2.41,0.0
20180101:2130,504.35,67.04,111.2,4.06,18.16,27.14,2.83,0.0
20180101:2230,114.15,36.7,15.19,0.53,4.52,26.21,1.72,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,25.67,1.72,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,25.09,2.0,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,24.74,1.72,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.21,1.59,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,23.98,1.31,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.69,0.48,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.33,0.69,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.09,1.31,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.12,0.62,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,22.79,0.62,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,22.32,0.76,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,22.04,0.83,0.0
20180102:1130,865.48,222.91,66.82,1.87,6.48,21.76,0.97,0.0
20180102:1230,1766.19,476.15,120.83,7.54,20.09,23.04,0.62,0.0
20180102:1330,1983.17,494.77,181.59,12.42,33.32,24.88,1.1,0.0
20180102:1430,2160.27,567.02,174.31,16.42,45.72,26.22,1.45,0.0
20180102:1530,2287.4,616.33,169.66,20.04,56.33,27.46,2.0,0.0
20180102:1630,2663.51,781.44,143.09,25.48,62.91,28.36,2.76,0.0
20180102:1730,1790.94,436.41,163.82,16.8,62.39,29.44,3.38,0.0
20180102:1830,2071.22,464.21,236.34,18.1,55.08,28.18,3.1,0.0
20180102:1930,2331.98,592.08,190.25,16.9,44.13,27.33,4.55,0.0
20180102:2030,1185.34,239.64,152.87,8.02,31.58,27.27,4.62,0.0
20180102:2130,636.29,122.83,95.71,3.9,18.28,26.55,3.72,0.0
20180102:2230,464.93,122.76,42.82,1.17,4.63,25.91,2.55,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,25.22,2.69,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,24.6,2.41,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,24.09,2.69,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,23.6,2.62,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,23.23,2.41,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,22.77,2.07,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,22.32,1.86,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,22.01,1.59,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,21.9,1.72,0.0
