Latitude (decimal degrees):	1.594
Longitude (decimal degrees):	-77.914
Elevation (m):	478
Radiation database:	PVGIS-ERA5


Slope: 38 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,21.58,0.28,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,21.46,0.76,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,21.61,0.69,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,21.97,0.21,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,21.32,0.62,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,21.03,0.21,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,20.98,0.14,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,20.71,0.28,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,20.64,0.69,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,20.67,0.41,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,20.77,0.28,0.0
20180101:1130,4.58,0.0,8.62,0.21,2.81,20.73,0.48,0.0
20180101:1230,85.74,1.28,40.22,0.94,16.54,20.5,0.62,0.0
20180101:1330,340.8,13.96,111.12,2.7,30.0,21.19,0.69,0.0
20180101:1430,658.58,22.89,202.83,4.97,42.9,21.76,1.17,0.0
20180101:1530,833.18,56.95,224.15,6.05,54.51,22.23,1.24,0.0
20180101:1630,1122.97,108.03,267.06,8.04,63.06,22.92,1.45,0.0
20180101:1730,1547.82,211.47,306.67,10.81,65.13,23.19,1.38,0.0
20180101:1830,657.89,14.07,213.2,5.18,59.37,23.82,1.79,0.0
20180101:1930,597.83,24.09,183.08,4.58,48.96,22.77,1.31,0.0
20180101:2030,642.33,34.14,186.81,4.67,36.58,22.78,1.59,0.0
20180101:2130,249.36,4.96,91.27,2.15,23.35,22.05,1.86,0.0
20180101:2230,36.34,0.0,23.17,0.58,9.72,21.53,1.59,0.0
20180101:2330,0.0,0.0,0.0,0.0,-4.06,21.41,1.17,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,21.11,0.34,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,20.72,0.69,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,20.9,0.69,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,21.19,0.69,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,21.71,0.69,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,21.89,0.55,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,21.81,0.55,0.0
