Latitude (decimal degrees):	8.153
Longitude (decimal degrees):	-72.831
Elevation (m):	1057
Radiation database:	PVGIS-ERA5


Slope: 38 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,20.87,0.21,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,20.3,0.07,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,20.05,0.21,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,19.79,0.21,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,19.41,0.21,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,18.78,0.55,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,18.99,0.55,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,18.75,0.62,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,18.63,0.69,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,18.57,0.76,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,18.5,0.83,0.0
20180101:1130,32.49,0.0,21.34,0.55,4.83,18.29,0.83,0.0
20180101:1230,168.9,0.0,69.15,1.78,18.21,18.82,0.41,0.0
20180101:1330,277.51,0.0,104.98,2.7,31.04,20.95,0.28,0.0
20180101:1430,2183.76,537.24,215.34,11.86,42.84,22.96,0.76,0.0
20180101:1530,2459.15,614.14,246.18,15.16,52.57,24.12,1.1,0.0
20180101:1630,2108.03,464.26,261.91,13.91,58.26,25.52,1.31,0.0
20180101:1730,1736.43,320.13,270.7,11.63,57.67,26.3,1.52,0.0
20180101:1830,1763.88,394.7,204.16,10.74,51.09,26.42,1.59,0.0
20180101:1930,709.56,73.88,171.52,4.98,40.88,26.53,1.52,0.0
20180101:2030,1627.55,372.45,176.61,7.25,28.85,25.46,1.66,0.0
20180101:2130,479.56,112.65,57.02,1.91,15.89,25.14,1.72,0.0
20180101:2230,8.82,0.0,11.03,0.28,2.45,23.56,1.38,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,22.34,1.24,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,21.47,0.97,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,20.74,0.48,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,20.34,0.41,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,20.14,0.48,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,20.18,0.21,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,19.9,0.28,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,19.26,0.41,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,20.1,0.34,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,19.73,0.28,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,19.48,0.21,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,19.28,0.21,0.0
20180102:1130,25.56,0.0,18.56,0.48,4.75,19.19,0.34,0.0
20180102:1230,145.92,0.0,61.79,1.59,18.14,19.48,0.14,0.0
20180102:1330,317.32,0.0,117.75,3.03,30.99,21.17,0.41,0.0
20180102:1430,2426.77,676.21,173.06,12.96,42.81,23.05,0.69,0.0
20180102:1530,2392.62,684.19,150.19,14.45,52.58,24.96,1.1,0.0
