Latitude (decimal degrees):	0.427
Longitude (decimal degrees):	-75.699
Elevation (m):	222
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.65,0.07,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.02,1.03,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.86,1.24,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.63,1.03,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.25,0.62,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.5,0.21,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.91,0.48,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.81,1.03,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.35,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.62,0.83,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,22.24,0.97,0.0
20180101:1130,0.0,0.0,4.57,0.15,5.31,22.09,0.97,0.0
20180101:1230,26.18,0.0,18.88,0.6,19.04,22.11,0.9,0.0
20180101:1330,249.44,23.37,71.92,2.59,32.51,22.3,0.76,0.0
20180101:1430,336.3,8.78,114.79,3.8,45.39,22.87,0.69,0.0
20180101:1530,309.92,0.0,115.64,3.67,56.89,23.38,0.69,0.0
20180101:1630,625.62,41.89,173.13,6.52,64.96,23.67,0.69,0.0
20180101:1730,872.33,105.29,186.34,8.51,65.86,23.63,1.24,0.0
20180101:1830,1209.98,206.54,193.4,10.63,58.94,24.18,1.72,0.0
20180101:1930,1496.96,311.14,184.24,11.31,47.92,23.48,1.45,0.0
20180101:2030,1280.16,258.65,164.06,8.42,35.24,24.0,2.07,0.0
20180101:2130,693.35,138.99,96.84,4.07,21.85,24.4,1.52,0.0
20180101:2230,485.99,122.04,49.86,1.58,8.16,24.35,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,-5.64,24.06,0.41,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,23.7,0.97,0.0
