Latitude (decimal degrees):	4.487
Longitude (decimal degrees):	-75.733
Elevation (m):	1236
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,16.04,0.34,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,15.6,0.62,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,15.12,0.76,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,15.23,0.62,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,15.23,0.55,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,14.85,0.62,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,13.87,0.69,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,13.45,0.48,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,13.23,0.62,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,13.29,0.76,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,13.34,0.69,0.0
20180101:1130,19.56,0.0,15.5,0.52,3.67,13.23,0.62,0.0
20180101:1230,769.58,156.72,92.88,3.6,17.28,13.98,0.55,0.0
20180101:1330,1248.44,241.08,162.47,7.46,30.51,16.5,0.48,0.0
20180101:1430,1215.29,181.09,211.79,9.2,42.97,16.74,0.62,0.0
20180101:1530,1397.32,206.43,248.76,11.55,53.82,17.81,0.48,0.0
20180101:1630,1235.35,136.87,265.76,11.16,61.11,18.21,0.62,0.0
20180101:1730,1620.27,239.64,289.79,14.15,61.9,18.46,0.9,0.0
20180101:1830,1422.73,193.59,270.62,12.09,55.75,18.82,0.9,0.0
20180101:1930,1149.23,150.66,223.49,9.24,45.45,18.23,0.76,0.0
20180101:2030,1088.32,196.91,155.9,7.07,33.23,17.8,0.9,0.0
20180101:2130,1015.82,218.09,111.16,4.75,20.12,17.19,0.97,0.0
20180101:2230,572.76,152.09,40.16,1.24,6.57,16.28,0.9,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,15.74,0.83,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,15.19,0.76,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,14.84,0.76,0.0
