Latitude (decimal degrees):	5.291
Longitude (decimal degrees):	-75.982
Elevation (m):	1925
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,17.04,0.48,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,16.54,0.48,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,16.08,0.55,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,15.43,0.69,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,14.92,0.69,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,14.61,0.62,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,14.38,0.62,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,14.57,0.62,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,14.94,0.83,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,15.25,0.62,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,15.36,0.55,0.0
20180101:1130,12.05,0.0,12.35,0.3,3.12,15.15,0.62,0.0
20180101:1230,166.01,0.0,67.37,1.63,16.7,15.41,0.55,0.0
20180101:1330,1829.06,398.01,203.29,7.72,29.89,15.88,0.48,0.0
20180101:1430,1764.46,316.25,270.0,9.56,42.29,17.77,0.34,0.0
20180101:1530,2437.9,637.82,201.09,14.0,53.04,18.82,0.41,0.0
20180101:1630,2255.79,488.37,281.46,14.21,60.27,19.79,0.62,0.0
20180101:1730,2038.38,426.29,262.88,12.92,61.16,19.85,0.48,0.0
20180101:1830,1746.05,269.57,314.17,10.95,55.24,19.59,0.55,0.0
20180101:1930,1246.17,161.59,251.54,7.59,45.12,19.9,0.48,0.0
20180101:2030,968.31,166.86,153.33,5.01,33.02,19.93,0.76,0.0
20180101:2130,525.87,88.63,91.38,2.54,19.98,18.1,0.48,0.0
20180101:2230,24.56,0.0,18.06,0.44,6.47,17.59,0.69,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,16.96,0.48,0.0
