Latitude (decimal degrees):	12.547
Longitude (decimal degrees):	-81.720
Elevation (m):	44
Radiation database:	PVGIS-ERA5


Slope: 45 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,27.06,5.72,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,27.04,5.72,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,27.0,5.93,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,26.92,6.41,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,26.84,6.69,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,26.76,6.83,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,26.72,6.9,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,26.66,6.83,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,26.6,6.69,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,26.46,6.76,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,26.25,5.66,0.0
20180101:1130,0.0,0.0,0.0,0.0,-4.94,26.38,5.86,0.0
20180101:1230,1087.47,267.6,93.67,2.82,8.43,26.51,6.14,0.0
20180101:1330,1964.23,494.16,152.1,8.63,21.3,26.51,6.55,0.0
20180101:1430,2537.46,673.6,169.01,14.71,33.34,26.75,6.83,0.0
20180101:1530,2798.1,767.41,165.15,19.51,43.84,26.8,7.03,0.0
20180101:1630,2959.38,831.53,156.44,23.17,51.5,26.82,7.24,0.0
20180101:1730,2704.36,722.73,171.69,22.05,54.44,26.71,7.24,0.0
20180101:1830,2849.08,789.28,158.97,22.32,51.56,26.69,7.03,0.0
20180101:1930,2100.33,481.59,206.07,15.25,43.93,26.61,6.97,0.0
20180101:2030,2613.19,726.12,140.63,14.93,33.45,26.54,7.03,0.0
20180101:2130,1857.66,484.89,122.52,8.02,21.43,26.44,7.24,0.0
20180101:2230,1044.58,280.29,65.97,2.48,8.55,26.67,7.31,0.0
20180101:2330,0.0,0.0,0.0,0.0,-4.81,26.47,7.45,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,26.37,7.72,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,26.33,8.14,0.0
