Latitude (decimal degrees):	6.636
Longitude (decimal degrees):	-73.537
Elevation (m):	1193
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,17.77,0.28,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,17.74,0.41,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,17.31,0.55,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,16.69,0.69,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,16.22,0.62,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,16.37,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,16.51,0.76,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,16.87,0.55,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,17.22,0.41,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,16.89,0.34,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,16.98,0.55,0.0
20180101:1130,17.75,0.0,14.93,0.45,4.81,16.41,0.55,0.0
20180101:1230,826.06,172.97,97.12,3.59,18.28,16.35,0.55,0.0
20180101:1330,1304.5,258.75,165.69,7.17,31.27,17.3,0.41,0.0
20180101:1430,2030.41,454.73,223.97,12.62,43.32,18.29,0.48,0.0
20180101:1530,2211.59,538.9,205.34,15.33,53.44,20.07,0.97,0.0
20180101:1630,2465.46,632.97,210.23,18.48,59.6,21.59,1.24,0.0
20180101:1730,2337.99,595.22,200.72,17.43,59.31,23.24,1.59,0.0
20180101:1830,1735.85,303.16,273.43,12.67,52.73,22.83,1.86,0.0
20180101:1930,1290.98,168.41,256.63,9.3,42.39,20.33,1.03,0.0
20180101:2030,1436.9,277.33,196.37,7.92,30.24,20.77,1.1,0.0
20180101:2130,181.03,0.0,73.28,2.22,17.2,20.67,0.69,0.0
20180101:2230,18.56,0.0,15.46,0.47,3.7,19.64,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,18.59,0.48,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,17.83,0.0,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,17.68,0.28,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,17.67,0.34,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,17.7,0.28,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,17.15,0.28,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,16.61,0.34,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,16.66,0.48,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,16.3,0.48,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,16.17,0.48,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,15.98,0.48,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,16.14,0.34,0.0
20180102:1130,22.64,0.0,17.04,0.52,4.72,16.06,0.34,0.0
20180102:1230,1056.56,220.96,122.93,4.38,18.21,16.58,0.34,0.0
20180102:1330,2076.88,546.88,145.82,9.99,31.21,17.51,0.48,0.0
20180102:1430,2359.2,647.88,149.54,13.99,43.28,19.17,0.9,0.0
20180102:1530,2256.25,608.88,146.81,15.32,53.44,20.42,1.31,0.0
20180102:1630,2077.65,466.0,221.04,15.36,59.66,20.14,1.66,0.0
20180102:1730,2217.68,464.34,275.34,16.59,59.42,19.98,1.59,0.0
20180102:1830,2417.76,606.54,206.55,16.49,52.86,20.47,1.72,0.0
20180102:1930,1793.6,410.3,181.27,10.89,42.53,20.95,1.52,0.0
20180102:2030,756.56,105.72,146.91,5.1,30.37,20.13,0.9,0.0
20180102:2130,175.06,0.0,71.01,2.15,17.32,19.47,0.41,0.0
20180102:2230,19.06,0.0,15.66,0.48,3.81,19.2,0.34,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,18.24,0.62,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,18.07,0.62,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,17.93,0.34,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,17.82,0.21,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,17.66,0.28,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,17.58,0.62,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,16.61,0.34,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,16.51,0.62,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,16.56,0.76,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,16.45,0.83,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,16.38,0.76,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,16.23,0.83,0.0
20180103:1130,18.6,0.0,15.3,0.46,4.63,16.16,0.9,0.0
20180103:1230,1124.28,275.58,87.85,4.06,18.13,16.61,0.76,0.0
20180103:1330,1686.38,407.93,146.18,8.38,31.16,17.96,0.48,0.0
20180103:1430,2117.0,525.15,189.5,12.91,43.25,19.27,0.41,0.0
20180103:1530,2467.93,639.27,207.26,17.23,53.45,20.29,0.83,0.0
20180103:1630,2316.01,587.14,197.43,17.27,59.72,21.49,1.24,0.0
20180103:1730,2404.83,602.57,215.45,17.97,59.54,22.14,1.52,0.0
20180103:1830,2092.13,525.59,174.08,14.3,52.99,22.86,1.86,0.0
20180103:1930,2118.35,543.54,173.5,12.75,42.66,22.28,1.1,0.0
20180103:2030,1062.18,204.15,150.02,6.17,30.5,22.55,0.55,0.0
20180103:2130,190.07,0.0,76.68,2.33,17.44,22.15,0.76,0.0
20180103:2230,13.74,0.0,13.31,0.4,3.93,20.87,0.69,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,19.96,0.76,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,19.35,0.69,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,18.88,0.28,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,17.76,0.48,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,17.19,0.76,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,17.2,0.83,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,17.03,0.76,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,17.23,0.62,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,17.32,0.21,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,16.45,0.62,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,15.98,0.9,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,15.75,0.9,0.0
20180104:1130,23.25,0.0,17.28,0.52,4.55,15.84,0.55,0.0
20180104:1230,1456.26,363.56,110.9,5.05,18.06,16.58,0.34,0.0
20180104:1330,2067.87,554.05,142.66,10.0,31.1,18.1,0.14,0.0
20180104:1430,2463.92,674.06,169.25,14.79,43.23,19.54,0.76,0.0
20180104:1530,2415.22,593.72,223.35,16.75,53.46,20.11,1.31,0.0
20180104:1630,2023.64,472.97,196.47,14.93,59.8,20.48,1.52,0.0
20180104:1730,2087.47,414.04,282.5,15.82,59.66,20.64,1.45,0.0
20180104:1830,1917.15,431.46,203.69,13.29,53.14,21.04,1.45,0.0
20180104:1930,2116.96,500.92,208.21,12.87,42.8,20.95,1.38,0.0
20180104:2030,1671.09,379.08,174.95,8.56,30.63,21.3,1.17,0.0
20180104:2130,164.43,0.0,67.78,2.06,17.57,20.58,1.24,0.0
20180104:2230,19.13,0.0,15.74,0.48,4.04,20.02,1.24,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,18.27,0.76,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,17.82,0.21,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,17.92,0.69,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,17.78,0.62,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,17.76,0.55,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,17.13,0.55,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,16.59,0.83,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,16.46,0.9,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,16.91,0.9,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,17.11,0.76,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,16.58,0.83,0.0
20180105:1030,0.0,0.0,0.0,0.0,0.0,16.25,0.83,0.0
20180105:1130,23.83,0.0,17.52,0.53,4.47,15.93,0.83,0.0
20180105:1230,1767.54,442.58,136.47,5.97,18.0,16.9,0.83,0.0
20180105:1330,2419.53,688.57,140.43,11.55,31.06,18.34,0.41,0.0
20180105:1430,2649.53,756.91,170.99,16.12,43.21,19.6,0.41,0.0
20180105:1530,2429.74,666.17,158.64,16.67,53.48,20.05,1.03,0.0
20180105:1630,2134.52,477.39,235.16,15.96,59.88,20.57,1.38,0.0
20180105:1730,2543.54,666.41,203.7,19.06,59.8,21.13,1.31,0.0
20180105:1830,2576.84,763.81,128.33,17.82,53.28,23.12,1.31,0.0
20180105:1930,2372.25,655.74,152.98,14.11,42.95,22.45,1.45,0.0
20180105:2030,1963.85,501.45,154.72,9.54,30.77,21.55,1.38,0.0
20180105:2130,145.84,0.0,61.71,1.87,17.69,20.85,1.31,0.0
20180105:2230,21.41,0.0,16.71,0.51,4.16,19.51,0.9,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,18.31,0.48,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,18.21,0.28,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,18.22,0.48,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,18.0,0.76,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,17.79,0.76,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,17.4,0.76,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,17.33,0.69,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,16.95,0.69,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,16.58,0.69,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,16.44,0.62,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,16.33,0.55,0.0
20180106:1030,0.0,0.0,0.0,0.0,0.0,16.3,0.62,0.0
20180106:1130,8.01,0.0,10.32,0.31,4.39,16.32,0.83,0.0
20180106:1230,561.41,125.77,62.48,2.51,17.93,16.5,0.76,0.0
20180106:1330,1239.66,290.41,109.61,6.25,31.01,17.26,0.83,0.0
20180106:1430,1431.51,323.43,141.77,8.77,43.19,18.45,0.76,0.0
20180106:1530,1788.56,412.16,175.19,12.32,53.51,19.06,0.9,0.0
20180106:1630,2145.64,474.51,244.69,16.15,59.96,19.62,0.9,0.0
20180106:1730,2366.79,523.37,278.73,17.93,59.93,20.22,1.17,0.0
20180106:1830,2088.09,491.74,207.08,14.51,53.44,20.83,1.17,0.0
20180106:1930,2093.78,430.11,273.14,13.31,43.09,21.7,1.59,0.0
20180106:2030,1746.28,393.05,188.76,9.03,30.9,21.51,1.1,0.0
20180106:2130,192.96,0.0,77.16,2.34,17.82,20.72,0.83,0.0
20180106:2230,26.06,0.0,18.69,0.57,4.27,19.61,0.21,0.0
