Latitude (decimal degrees):	8.743
Longitude (decimal degrees):	-74.967
Elevation (m):	12
Radiation database:	PVGIS-ERA5


Slope: 44 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,27.1,1.59,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,26.47,1.66,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,26.01,1.66,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.72,1.66,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,25.43,1.52,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.86,0.62,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,24.69,0.69,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,24.06,0.9,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,24.04,1.31,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.87,1.38,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,23.8,1.52,0.0
20180101:1130,478.4,148.03,20.97,0.6,2.66,24.17,1.66,0.0
20180101:1230,1068.61,265.93,90.45,4.25,16.06,24.48,1.66,0.0
20180101:1330,1072.26,230.08,127.31,6.65,28.95,25.25,1.79,0.0
20180101:1430,1412.22,302.36,172.07,10.33,40.87,26.13,1.17,0.0
20180101:1530,1475.24,314.03,184.93,12.23,50.9,27.1,0.97,0.0
20180101:1630,1472.16,304.07,195.92,13.16,57.22,27.88,0.9,0.0
20180101:1730,1438.44,264.36,226.1,13.22,57.58,28.59,0.97,0.0
20180101:1830,1501.31,263.07,252.69,13.3,51.81,29.13,0.9,0.0
20180101:1930,1662.16,336.62,240.66,12.9,42.08,29.01,0.55,0.0
20180101:2030,1217.33,214.92,201.88,8.63,30.31,28.36,0.69,0.0
20180101:2130,872.91,185.8,114.68,4.52,17.5,28.35,0.76,0.0
20180101:2230,537.38,159.53,31.84,0.94,4.14,27.69,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,27.44,0.9,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,26.84,1.38,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,25.24,1.72,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.68,1.66,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,24.15,1.72,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.93,1.52,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.78,1.59,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.75,1.1,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.68,1.03,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,23.5,1.24,0.0
