Latitude (decimal degrees):	3.905
Longitude (decimal degrees):	-75.283
Elevation (m):	406
Radiation database:	PVGIS-ERA5


Slope: 43 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.72,1.72,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.73,1.17,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,25.36,0.69,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,25.12,0.41,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.76,0.69,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,24.57,0.21,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,24.25,0.34,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,24.19,0.14,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.56,0.48,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.2,0.55,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,22.95,0.14,0.0
20180101:1130,384.69,111.31,27.75,0.81,4.31,22.69,0.14,0.0
20180101:1230,437.32,86.96,67.68,2.66,17.93,22.41,0.21,0.0
20180101:1330,687.03,117.03,116.58,5.03,31.19,22.96,0.21,0.0
20180101:1430,643.03,63.26,157.14,6.0,43.69,23.47,0.48,0.0
20180101:1530,821.71,55.91,221.55,8.13,54.55,23.65,0.97,0.0
20180101:1630,1437.78,198.42,282.7,13.34,61.8,24.14,0.97,0.0
20180101:1730,1637.83,251.04,304.64,15.22,62.38,25.3,0.76,0.0
20180101:1830,984.95,93.58,240.21,9.49,55.95,26.28,1.03,0.0
20180101:1930,989.49,117.88,215.42,8.69,45.47,25.68,1.38,0.0
20180101:2030,1244.2,262.26,157.01,8.04,33.14,26.1,0.9,0.0
20180101:2130,894.89,205.95,98.06,4.43,19.97,26.45,0.97,0.0
