Latitude (decimal degrees):	3.688
Longitude (decimal degrees):	-76.371
Elevation (m):	965
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,19.51,0.48,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,19.35,0.55,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,18.96,0.41,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,18.82,0.07,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,18.6,0.34,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,18.66,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,18.53,0.69,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,18.3,0.34,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,17.97,0.48,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,17.95,0.55,0.0
20180101:1030,0.0,0.0,0.0,0.0,0.0,17.79,0.62,0.0
20180101:1130,18.29,0.0,15.24,0.47,3.4,17.96,0.48,0.0
20180101:1230,841.8,178.47,99.43,3.6,17.05,18.13,0.28,0.0
20180101:1330,1118.96,191.98,172.84,6.68,30.35,17.93,0.62,0.0
20180101:1430,1272.96,196.67,220.42,8.97,42.95,19.51,0.83,0.0
20180101:1530,1164.55,159.26,223.78,9.21,54.02,20.01,0.62,0.0
20180101:1630,1779.16,266.38,326.45,14.55,61.67,20.48,0.83,0.0
20180101:1730,1756.18,279.27,306.62,14.42,62.81,21.28,0.9,0.0
20180101:1830,1370.64,162.24,291.23,11.23,56.77,21.34,1.03,0.0
20180101:1930,1411.91,234.13,230.69,10.07,46.45,20.63,0.97,0.0
20180101:2030,1198.54,231.83,160.46,7.18,34.19,20.53,1.31,0.0
20180101:2130,678.87,128.89,98.79,3.64,21.04,19.99,1.03,0.0
20180101:2230,182.3,41.13,32.05,0.92,7.47,19.6,0.83,0.0
20180101:2330,0.0,0.0,0.0,0.0,-6.29,19.24,0.76,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,18.58,0.62,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,18.64,0.69,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,18.58,0.41,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,18.43,0.14,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,18.27,0.07,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,18.14,0.14,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,18.01,0.28,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,18.38,0.69,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,18.18,0.55,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,18.05,0.76,0.0
20180102:1030,0.0,0.0,0.0,0.0,0.0,17.55,1.03,0.0
20180102:1130,12.94,0.0,12.78,0.4,3.31,17.83,1.03,0.0
20180102:1230,601.87,113.8,88.45,3.01,16.96,17.96,0.97,0.0
20180102:1330,934.74,126.69,181.1,6.26,30.28,18.54,0.48,0.0
20180102:1430,1399.09,262.09,197.37,9.32,42.9,19.51,0.55,0.0
20180102:1530,1541.35,286.89,219.42,11.39,54.0,20.04,0.9,0.0
20180102:1630,2138.64,411.01,307.39,17.0,61.71,20.79,1.24,0.0
20180102:1730,2410.02,575.28,245.77,19.16,62.92,22.32,1.52,0.0
20180102:1830,1809.35,320.52,282.84,13.94,56.9,22.88,1.66,0.0
20180102:1930,1597.56,308.14,222.67,11.03,46.58,23.31,1.59,0.0
20180102:2030,1274.5,249.35,172.57,7.68,34.31,23.02,1.45,0.0
20180102:2130,679.68,121.08,109.5,3.85,21.16,22.55,1.24,0.0
20180102:2230,561.33,134.08,59.48,1.57,7.58,21.54,0.97,0.0
20180102:2330,0.0,0.0,0.0,0.0,-6.19,20.58,0.9,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,19.68,0.76,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,19.67,0.55,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,19.51,0.55,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,19.43,0.83,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,18.87,0.83,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,18.95,0.76,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,18.8,0.69,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,18.62,0.69,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,18.66,0.76,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,18.45,0.48,0.0
20180103:1030,0.0,0.0,0.0,0.0,0.0,18.43,0.41,0.0
20180103:1130,15.98,0.0,14.23,0.44,3.21,18.33,0.48,0.0
20180103:1230,1016.63,220.4,113.44,4.09,16.88,18.57,0.48,0.0
20180103:1330,1528.37,343.63,154.44,7.82,30.22,18.05,0.83,0.0
20180103:1430,1853.7,327.09,288.91,12.44,42.86,20.03,1.1,0.0
20180103:1530,2193.5,457.43,279.95,15.97,54.0,20.87,1.38,0.0
20180103:1630,2130.98,420.24,295.57,16.9,61.76,21.76,1.52,0.0
20180103:1730,1668.24,221.09,335.46,14.01,63.03,22.46,1.31,0.0
20180103:1830,2630.78,683.32,239.29,19.94,57.04,22.48,0.9,0.0
20180103:1930,2242.7,517.53,255.25,15.12,46.72,23.91,1.1,0.0
20180103:2030,1821.67,402.02,210.96,10.35,34.44,23.66,1.38,0.0
20180103:2130,564.02,78.08,116.44,3.75,21.28,22.33,1.1,0.0
20180103:2230,385.96,98.21,40.39,1.19,7.7,21.75,0.76,0.0
20180103:2330,0.0,0.0,0.0,0.0,-6.08,21.21,0.76,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,20.02,0.97,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,20.91,0.28,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,20.48,0.62,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,19.8,0.14,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,19.35,0.48,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,18.83,0.9,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,18.57,0.97,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,18.75,0.62,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,18.91,0.55,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,18.66,0.76,0.0
20180104:1030,0.0,0.0,0.0,0.0,0.0,18.67,0.55,0.0
20180104:1130,13.59,0.0,13.14,0.41,3.12,18.81,0.55,0.0
20180104:1230,986.68,202.54,122.44,4.16,16.81,18.9,0.48,0.0
20180104:1330,1576.77,312.33,208.4,8.65,30.16,18.79,0.41,0.0
20180104:1430,1859.01,408.7,212.9,11.82,42.82,20.64,0.69,0.0
20180104:1530,2303.19,540.02,245.09,16.66,54.0,20.75,0.83,0.0
20180104:1630,1951.72,366.29,287.85,15.6,61.82,21.99,1.24,0.0
20180104:1730,1774.97,315.35,277.72,14.45,63.15,22.51,1.17,0.0
20180104:1830,1858.01,409.64,208.68,13.84,57.18,21.74,1.17,0.0
20180104:1930,1695.19,325.7,238.65,11.72,46.86,22.31,1.24,0.0
20180104:2030,1296.49,244.82,183.34,7.91,34.57,22.17,1.31,0.0
20180104:2130,948.72,209.96,105.02,4.4,21.4,21.99,1.1,0.0
20180104:2230,605.26,164.11,42.48,1.39,7.81,21.23,1.03,0.0
20180104:2330,0.0,0.0,0.0,0.0,-5.98,20.45,0.76,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,19.9,0.48,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,19.49,0.14,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,19.3,0.07,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,18.91,0.41,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,18.92,0.55,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,18.82,0.69,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,18.87,0.55,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,19.29,0.41,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,19.13,0.28,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,18.5,0.48,0.0
20180105:1030,0.0,0.0,0.0,0.0,0.0,18.46,0.62,0.0
20180105:1130,13.78,0.0,13.22,0.41,3.03,18.74,0.62,0.0
20180105:1230,1400.9,343.85,116.67,4.83,16.73,18.94,0.55,0.0
20180105:1330,1782.82,443.07,152.09,8.85,30.1,19.29,0.21,0.0
20180105:1430,2038.19,471.41,213.08,12.75,42.78,20.17,0.76,0.0
20180105:1530,1927.73,400.69,241.15,14.01,54.0,20.52,1.03,0.0
20180105:1630,1346.69,202.16,241.42,11.02,61.88,20.69,0.76,0.0
20180105:1730,1462.23,221.67,259.44,12.02,63.27,20.68,1.03,0.0
20180105:1830,1681.87,297.79,257.18,12.91,57.33,20.64,1.17,0.0
20180105:1930,1632.82,309.59,230.66,11.3,47.0,21.02,1.03,0.0
20180105:2030,1716.37,372.69,196.71,9.74,34.71,20.71,0.97,0.0
20180105:2130,1171.75,235.38,150.99,5.57,21.53,20.85,1.03,0.0
20180105:2230,543.16,129.32,57.37,1.57,7.92,20.2,0.9,0.0
20180105:2330,0.0,0.0,0.0,0.0,-5.88,19.53,0.69,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,18.47,0.41,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,18.94,0.34,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,18.46,0.0,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,18.44,0.34,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,18.39,0.21,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,18.37,0.07,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,18.21,0.21,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,18.4,0.9,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,18.3,0.97,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,17.63,1.1,0.0
20180106:1030,0.0,0.0,0.0,0.0,0.0,16.61,1.17,0.0
20180106:1130,22.72,0.0,17.01,0.53,2.95,15.39,1.31,0.0
20180106:1230,1018.36,197.32,129.87,4.26,16.66,14.95,1.31,0.0
20180106:1330,1551.82,261.7,245.73,8.99,30.04,17.83,0.9,0.0
20180106:1430,2329.67,503.53,297.71,15.07,42.75,20.15,0.55,0.0
20180106:1530,2840.11,781.58,223.94,20.75,54.01,21.53,0.9,0.0
20180106:1630,2342.96,499.03,306.66,18.84,61.95,22.72,1.1,0.0
20180106:1730,2534.72,659.5,216.52,20.42,63.4,23.09,1.31,0.0
20180106:1830,2492.68,628.01,230.1,18.73,57.48,23.04,1.45,0.0
20180106:1930,1707.4,350.13,222.44,11.76,47.14,22.94,0.9,0.0
