Latitude (decimal degrees):	0.822
Longitude (decimal degrees):	-70.794
Elevation (m):	363
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,23.94,0.9,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,23.72,0.97,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,23.53,1.1,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,23.46,0.97,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.34,0.83,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.07,0.83,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,22.96,0.9,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,22.81,1.03,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,22.67,1.03,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,22.45,0.9,0.0
20180101:1030,0.0,0.0,0.0,0.0,-4.14,22.39,0.9,0.0
20180101:1130,354.43,79.66,49.22,1.54,9.65,22.42,0.9,0.0
20180101:1230,1874.03,486.47,149.64,8.09,23.31,23.07,0.76,0.0
20180101:1330,2028.14,475.17,214.12,12.09,36.61,24.93,1.66,0.0
20180101:1430,2060.87,426.71,279.86,15.15,49.12,26.12,1.59,0.0
20180101:1530,2204.47,464.52,306.94,18.39,59.75,27.22,1.1,0.0
20180101:1630,1385.38,226.62,242.57,12.34,65.83,27.36,1.17,0.0
20180101:1730,747.52,29.85,227.53,7.41,63.93,26.15,1.17,0.0
20180101:1830,1027.45,117.45,226.13,8.91,55.35,24.82,1.86,0.0
20180101:1930,931.01,108.9,204.08,7.62,43.67,24.57,1.45,0.0
20180101:2030,898.63,127.54,176.38,6.4,30.73,24.95,1.03,0.0
20180101:2130,933.86,199.67,116.99,4.22,17.23,25.0,0.55,0.0
20180101:2230,451.76,129.0,32.9,0.8,3.49,24.72,0.48,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,24.33,0.9,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,23.85,0.9,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,23.51,0.48,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,23.35,0.97,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,23.03,1.03,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,22.82,1.24,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,22.7,1.1,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,22.62,0.83,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,22.08,1.1,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,21.94,1.03,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,21.83,0.9,0.0
20180102:1030,0.0,0.0,0.0,0.0,-4.24,21.63,0.41,0.0
20180102:1130,817.05,212.65,62.56,2.14,9.56,21.71,0.21,0.0
20180102:1230,1424.62,374.29,101.99,6.16,23.23,22.71,0.41,0.0
20180102:1330,1773.19,424.03,173.83,10.52,36.54,24.21,1.1,0.0
20180102:1430,1726.38,341.39,245.42,12.86,49.07,25.56,0.97,0.0
20180102:1530,1844.92,359.74,274.8,15.4,59.75,26.39,0.76,0.0
20180102:1630,2094.98,504.46,218.99,18.18,65.9,26.78,1.1,0.0
20180102:1730,1694.42,342.08,241.36,14.73,64.05,28.16,0.76,0.0
20180102:1830,1394.39,256.41,214.68,11.25,55.48,26.34,0.9,0.0
20180102:1930,958.07,137.34,188.89,7.63,43.8,26.49,0.55,0.0
20180102:2030,1220.72,262.72,146.44,7.08,30.85,24.81,0.9,0.0
20180102:2130,783.32,166.85,99.05,3.67,17.35,24.43,0.97,0.0
20180102:2230,693.23,201.25,37.16,0.92,3.6,24.14,0.76,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,23.65,0.76,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,23.2,0.9,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,22.89,1.1,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,22.58,1.24,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,22.41,1.24,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,22.2,1.31,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,22.03,1.24,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,21.87,1.24,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,21.91,1.38,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,21.74,1.31,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,21.61,1.31,0.0
20180103:1030,0.0,0.0,0.0,0.0,-4.35,21.51,1.38,0.0
20180103:1130,1246.75,338.35,73.83,2.74,9.46,21.5,1.31,0.0
20180103:1230,1767.77,433.4,152.71,7.63,23.15,22.73,2.14,0.0
20180103:1330,1956.34,451.04,203.02,11.51,36.48,24.07,2.34,0.0
20180103:1430,1951.56,388.01,267.55,14.19,49.04,25.56,2.62,0.0
20180103:1530,2085.51,382.61,328.83,17.28,59.75,26.88,2.34,0.0
20180103:1630,2332.79,548.09,262.82,20.35,65.97,27.79,1.86,0.0
20180103:1730,2300.95,558.56,250.39,19.89,64.18,28.59,1.38,0.0
20180103:1830,1583.47,236.57,308.98,13.42,55.62,29.18,1.24,0.0
20180103:1930,953.99,97.49,228.32,8.14,43.93,27.93,1.59,0.0
20180103:2030,1431.58,328.97,158.69,8.12,30.98,26.59,0.55,0.0
20180103:2130,1345.31,343.32,113.77,5.06,17.46,26.49,0.83,0.0
20180103:2230,664.9,190.88,39.74,0.95,3.71,26.05,1.45,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,25.11,1.52,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,24.51,1.31,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,24.13,1.1,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,23.82,1.1,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,23.5,1.03,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,23.2,0.83,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,22.78,0.55,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,22.61,0.76,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,22.6,0.62,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,22.37,0.55,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,22.62,0.14,0.0
20180104:1030,0.0,0.0,0.0,0.0,-4.45,22.12,0.55,0.0
20180104:1130,1189.0,306.6,88.03,2.78,9.37,21.6,1.03,0.0
20180104:1230,1877.07,493.26,149.14,8.09,23.07,23.64,0.48,0.0
20180104:1330,2486.75,755.78,121.76,14.12,36.42,25.47,0.97,0.0
20180104:1430,2691.92,811.22,151.07,19.06,49.0,27.03,1.31,0.0
