Latitude (decimal degrees):	4.865
Longitude (decimal degrees):	-69.324
Elevation (m):	121
Radiation database:	PVGIS-ERA5


Slope: 44 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.57,1.38,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,25.16,1.45,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.47,1.31,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.11,1.17,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,23.94,1.17,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.75,1.45,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.61,1.45,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,24.25,1.72,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,24.25,2.14,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,24.09,2.48,0.0
20180101:1030,0.0,0.0,0.0,0.0,-4.36,23.93,2.55,0.0
20180101:1130,1336.07,355.59,86.8,3.17,9.36,23.86,2.62,0.0
20180101:1230,1760.84,442.13,146.85,8.22,22.82,24.77,2.14,0.0
20180101:1330,1734.85,373.87,200.76,11.38,35.76,26.21,3.86,0.0
20180101:1430,960.96,101.52,221.18,9.09,47.63,27.34,3.72,0.0
20180101:1530,1284.94,183.12,245.57,12.06,57.21,27.85,3.38,0.0
20180101:1630,1587.74,236.54,296.91,15.29,62.0,28.43,3.03,0.0
20180101:1730,1863.94,349.02,282.31,17.11,59.64,28.87,2.9,0.0
20180101:1830,1627.43,271.93,278.58,14.23,51.41,29.3,2.9,0.0
20180101:1930,1628.59,323.36,229.62,12.15,40.16,28.32,1.93,0.0
20180101:2030,1376.91,316.31,148.55,7.96,27.52,28.5,2.21,0.0
20180101:2130,734.12,161.05,90.71,3.42,14.2,27.02,2.07,0.0
20180101:2230,3.27,0.0,7.88,0.26,0.56,25.91,1.59,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,25.08,1.1,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,24.35,0.76,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,24.08,0.76,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,24.15,1.52,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,23.88,1.66,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.68,1.72,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,23.49,1.59,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,23.43,1.38,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,23.13,1.38,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,22.93,1.31,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,22.74,1.31,0.0
20180102:1030,0.0,0.0,0.0,0.0,-4.46,22.57,1.24,0.0
20180102:1130,828.71,223.51,54.07,2.18,9.27,22.46,1.24,0.0
20180102:1230,1736.23,472.7,111.68,7.81,22.74,23.89,1.03,0.0
20180102:1330,1394.74,350.78,114.12,8.84,35.7,25.69,1.52,0.0
20180102:1430,2009.89,508.25,172.39,15.18,47.6,26.52,2.0,0.0
20180102:1530,2096.48,473.41,244.06,18.38,57.22,27.64,2.0,0.0
20180102:1630,1708.86,340.97,238.58,16.02,62.08,28.4,1.86,0.0
20180102:1730,2051.4,437.64,266.63,18.71,59.76,28.65,2.07,0.0
20180102:1830,2183.22,519.55,239.06,18.0,51.55,29.3,1.93,0.0
20180102:1930,975.13,205.31,126.62,7.46,40.29,29.0,1.24,0.0
20180102:2030,1213.56,270.52,144.84,7.39,27.64,27.68,0.21,0.0
20180102:2130,228.3,40.59,49.6,1.82,14.32,26.86,0.76,0.0
20180102:2230,0.0,0.0,4.75,0.16,0.67,25.18,0.28,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,24.4,1.31,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,23.99,1.1,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,23.98,1.1,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,23.97,1.03,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,23.77,0.97,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,23.57,0.97,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,23.29,1.17,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,22.86,1.45,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,22.9,1.52,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,22.84,1.59,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,22.82,1.52,0.0
20180103:1030,0.0,0.0,0.0,0.0,-4.55,22.7,1.52,0.0
20180103:1130,1170.4,307.48,81.27,2.88,9.18,22.65,1.38,0.0
20180103:1230,1815.62,478.65,126.43,8.14,22.67,23.92,2.14,0.0
20180103:1330,2263.57,613.71,155.33,13.77,35.65,25.45,2.34,0.0
