Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,0.0,0.0,18.56,0.41,0.0
20220101:0130,0.0,0.0,0.0,0.0,18.54,0.28,0.0
20220101:0230,0.0,0.0,0.0,0.0,18.23,0.34,0.0
20220101:0330,0.0,0.0,0.0,0.0,17.97,0.28,0.0
20220101:0430,0.0,0.0,0.0,0.0,17.67,0.41,0.0
20220101:0530,0.0,0.0,0.0,0.0,17.26,0.55,0.0
20220101:0630,0.0,0.0,0.0,0.0,16.96,0.62,0.0
20220101:0730,0.0,0.0,0.0,0.0,16.79,0.55,0.0
20220101:0830,0.0,0.0,0.0,0.0,16.61,0.55,0.0
20220101:0930,0.0,0.0,0.0,0.0,16.27,0.55,0.0
20220101:1030,0.0,0.0,0.0,0.0,15.92,0.55,0.0
20220101:1130,0.0,11.87,0.29,2.52,15.84,0.55,0.0
20220101:1230,320.99,117.39,3.86,16.03,15.96,0.48,0.0
20220101:1330,496.1,152.34,7.74,29.09,17.75,0.62,0.0
20220101:1430,745.18,160.75,12.86,41.3,19.71,0.62,0.0
20220101:1530,797.83,155.63,15.56,51.78,21.56,0.34,0.0
20220101:1630,722.02,145.09,15.42,58.7,22.68,0.14,0.0
20220101:1730,799.85,159.75,17.18,59.53,23.08,0.69,0.0
20220101:1830,569.17,147.39,12.18,53.83,23.48,0.76,0.0
20220101:1930,312.71,249.68,9.37,43.99,22.67,0.83,0.0
20220101:2030,342.71,164.65,6.89,32.08,22.25,0.9,0.0
20220101:2130,32.0,63.62,1.64,19.17,20.26,0.41,0.0
20220101:2230,0.0,16.44,0.4,5.74,18.88,0.21,0.0
20220101:2330,0.0,0.0,0.0,0.0,18.66,0.41,0.0
20220102:0030,0.0,0.0,0.0,0.0,18.29,0.14,0.0
20220102:0130,0.0,0.0,0.0,0.0,17.69,0.21,0.0
20220102:0230,0.0,0.0,0.0,0.0,17.55,0.34,0.0
20220102:0330,0.0,0.0,0.0,0.0,17.47,0.21,0.0
20220102:0430,0.0,0.0,0.0,0.0,17.0,0.34,0.0
20220102:0530,0.0,0.0,0.0,0.0,16.89,0.41,0.0
20220102:0630,0.0,0.0,0.0,0.0,16.73,0.41,0.0
20220102:0730,0.0,0.0,0.0,0.0,16.34,0.41,0.0
20220102:0830,0.0,0.0,0.0,0.0,16.33,0.28,0.0
20220102:0930,0.0,0.0,0.0,0.0,16.14,0.34,0.0
20220102:1030,0.0,0.0,0.0,0.0,16.02,0.41,0.0
20220102:1130,0.0,9.6,0.23,2.43,15.77,0.48,0.0
